# Altium Pin Report File

Pin Designator,Net Name,Display Name,IO Bank,IO Standard,Slew Rate,Drive Strength,IO Pin,Vref Pin,CLK Pin,Config Pin,Special Pin,Group,Differential Pair
1,,NC,,,,,,,,,,,
2,,NC,,,,,,,,,,,
3,,NC,,,,,,,,,,,
4,,NC,,,,,,,,,,,
5,,NC,,,,,,,,,,,
6,,NC,,,,,,,,,,,
7,NAND_R/nB,R/nB,,,,,,,,,,,
8,PD4(NAND_NOE),nRE,,,,,,,,,,,
9,PD7(NAND_NCE2),nCE,,,,,,,,,,,
10,,NC,,,,,,,,,,,
11,,NC,,,,,,,,,,,
12,3V3,Vcc,,,,,,,,,,,
13,GND,Vss,,,,,,,,,,,
14,,NC,,,,,,,,,,,
15,,NC,,,,,,,,,,,
16,PD11(NAND_CLE),CLE,,,,,,,,,,,
17,PD12(NAND_ALE),ALE,,,,,,,,,,,
18,PD5(NAND_NWE),nWE,,,,,,,,,,,
19,PG9(NAND_NE2),nWP,,,,,,,,,,,
20,,NC,,,,,,,,,,,
21,,NC,,,,,,,,,,,
22,,NC,,,,,,,,,,,
23,,NC,,,,,,,,,,,
24,,NC,,,,,,,,,,,
25,GND,Vss,,,,,,,,,,,
26,,NC,,,,,,,,,,,
27,,NC,,,,,,,,,,,
28,,NC,,,,,,,,,,,
29,PD14(NAND_D0),I/O0,,,,,,,,,,,
30,PD15(NAND_D1),I/O1,,,,,,,,,,,
31,PD0(NAND_D2),I/O2,,,,,,,,,,,
32,PD1(NAND_D3),I/O3,,,,,,,,,,,
33,,NC,,,,,,,,,,,
34,3V3,Vcc,,,,,,,,,,,
35,,NC,,,,,,,,,,,
36,GND,Vss,,,,,,,,,,,
37,3V3,Vcc,,,,,,,,,,,
38,,DNU,,,,,,,,,,,
39,3V3,Vcc,,,,,,,,,,,
40,,NC,,,,,,,,,,,
41,PE7(NAND_D4),I/O4,,,,,,,,,,,
42,PE8(NAND_D5),I/O5,,,,,,,,,,,
43,PE9(NAND_D6),I/O6,,,,,,,,,,,
44,PE10(NAND_D7),I/O7,,,,,,,,,,,
45,,NC,,,,,,,,,,,
46,,NC,,,,,,,,,,,
47,,DNU,,,,,,,,,,,
48,GND,Vss,,,,,,,,,,,
