;;;;;;;;;;;;;;;;;;;;;;;;
Report Generated From Altium Designer;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Designator;;Name;Desc;;;;SOIC8P_H;;;Type;;Owner;;Show;;Number;;Name;;;Pin/Pkg Length;;;
1;;Vout1;;;;;1;;;Passive;;1;;True;;True;;Vout1;;;0mm;;;
2;;-IN1;;;;;2;;;Passive;;1;;True;;True;;-IN1;;;0mm;;;
3;;+IN1;;;;;3;;;Passive;;1;;True;;True;;+IN1;;;0mm;;;
4;;-Vs;;;;;4;;;Passive;;1;;True;;True;;-Vs;;;0mm;;;
5;;+IN2;;;;;5;;;Passive;;1;;True;;True;;+IN2;;;0mm;;;
6;;-IN2;;;;;6;;;Passive;;1;;True;;True;;-IN2;;;0mm;;;
7;;Vout2;;;;;7;;;Passive;;1;;True;;True;;Vout2;;;0mm;;;
8;;+Vs;;;;;8;;;Passive;;1;;True;;True;;+Vs;;;0mm;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
понедельник 22-окт-22.2018   10:29:44 AM;;;;;;;;;;;;;;;;;;;;;;;Page 1 of 1;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
