;;;;;;;;;;;;;;;;;;;;;;;;
Report Generated From Altium Designer;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Designator;;Name;Desc;;;;TSSOP14_A;;;Type;;Owner;;Show;;Number;;Name;;;Pin/Pkg Length;;;
1;;A0;;;;;1;;;Passive;;1;;True;;True;;A0;;;0mm;;;
2;;EN;;;;;2;;;Passive;;1;;True;;True;;EN;;;0mm;;;
3;;VSS;;;;;3;;;Passive;;1;;True;;True;;VSS;;;0mm;;;
4;;S1;;;;;4;;;Passive;;1;;True;;True;;S1;;;0mm;;;
5;;S2;;;;;5;;;Passive;;1;;True;;True;;S2;;;0mm;;;
6;;D;;;;;6;;;Passive;;1;;True;;True;;D;;;0mm;;;
7;;NC;;;;;7;;;Passive;;1;;True;;True;;NC;;;0mm;;;
8;;NC;;;;;8;;;Passive;;1;;True;;True;;NC;;;0mm;;;
9;;NC;;;;;9;;;Passive;;1;;True;;True;;NC;;;0mm;;;
10;;S4;;;;;10;;;Passive;;1;;True;;True;;S4;;;0mm;;;
11;;S3;;;;;11;;;Passive;;1;;True;;True;;S3;;;0mm;;;
12;;VDD;;;;;12;;;Passive;;1;;True;;True;;VDD;;;0mm;;;
13;;GND;;;;;13;;;Passive;;1;;True;;True;;GND;;;0mm;;;
14;;A1;;;;;14;;;Passive;;1;;True;;True;;A1;;;0mm;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
воскресенье 21-окт-21.2018   2:36:05 PM;;;;;;;;;;;;;;;;;;;;;;;Page 1 of 1;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
