;;;;;;;;;;;;;;;;;;;;;;;;
Report Generated From Altium Designer;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Designator;;Name;Desc;;;;TSSOP-16;;;Type;;Owner;;Show;;Number;;Name;;;Pin/Pkg Length;;;
1;;A0;;;;;1;;;Passive;;1;;True;;True;;A0;;;0mm;;;
2;;EN;;;;;2;;;Passive;;1;;True;;True;;EN;;;0mm;;;
3;;VSS;;;;;3;;;Passive;;1;;True;;True;;VSS;;;0mm;;;
4;;S1;;;;;4;;;Passive;;1;;True;;True;;S1;;;0mm;;;
5;;S2;;;;;5;;;Passive;;1;;True;;True;;S2;;;0mm;;;
6;;S3;;;;;6;;;Passive;;1;;True;;True;;S3;;;0mm;;;
7;;S4;;;;;7;;;Passive;;1;;True;;True;;S4;;;0mm;;;
8;;D;;;;;8;;;Passive;;1;;True;;True;;D;;;0mm;;;
9;;S8;;;;;9;;;Passive;;1;;True;;True;;S8;;;0mm;;;
10;;S7;;;;;10;;;Passive;;1;;True;;True;;S7;;;0mm;;;
11;;S6;;;;;11;;;Passive;;1;;True;;True;;S6;;;0mm;;;
12;;S5;;;;;12;;;Passive;;1;;True;;True;;S5;;;0mm;;;
13;;VDD;;;;;13;;;Passive;;1;;True;;True;;VDD;;;0mm;;;
14;;GND;;;;;14;;;Passive;;1;;True;;True;;GND;;;0mm;;;
15;;A2;;;;;15;;;Passive;;1;;True;;True;;A2;;;0mm;;;
16;;A1;;;;;16;;;Passive;;1;;True;;True;;A1;;;0mm;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
понедельник 22-окт-22.2018   10:25:55 AM;;;;;;;;;;;;;;;;;;;;;;;Page 1 of 1;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
