;;;;;;;;;;;;;;;;;;;;;;;
Report Generated From Altium Designer;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Designator;Name;Desc;;;SSOP16_A;;;SSOP16_H;;SSOP16_M;;;Type;;Owner;Show;;Number;;Name;Pin/Pkg Length;;
1;MagINCn;Magnet Field Magnitude;;;1;;;1;;1;;;Passive;;1;True;;True;;MagINCn;0mm;;
;;Increase. Active low.;;;;;;;;;;;;;;;;;;;;;
;;Indicates a distance  ;;;;;;;;;;;;;;;;;;;;;
;;reduction between the;;;;;;;;;;;;;;;;;;;;;
;;magnet and the device;;;;;;;;;;;;;;;;;;;;;
;;surface.;;;;;;;;;;;;;;;;;;;;;
2;MagDEC;Magnet Field Magnitude;;;2;;;2;;2;;;Power;;1;True;;True;;MagDECn;0mm;;
;n;Decrease. Active low.;;;;;;;;;;;;;;;;;;;;;
;;Indicates a distance  ;;;;;;;;;;;;;;;;;;;;;
;;increase between the;;;;;;;;;;;;;;;;;;;;;
;;device and the magnet.;;;;;;;;;;;;;;;;;;;;;
3;DTest1_A;Test output in default;;;3;;;3;;3;;;Power;;1;True;;True;;DTest1_A;0mm;;
;;mode;;;;;;;;;;;;;;;;;;;;;
4;DTest2_B;Test output in default;;;4;;;4;;4;;;Passive;;1;True;;True;;DTest2_B;0mm;;
;;mode;;;;;;;;;;;;;;;;;;;;;
5;NC;Must be left unconnected;;;5;;;5;;5;;;Passive;;1;True;;True;;NC;0mm;;
6;Mode_Ind;Select between slow;;;6;;;6;;6;;;Passive;;1;True;;True;;Mode_Index;0mm;;
;ex;(open, low: VSS) and fast;;;;;;;;;;;;;;;;;;;;;
;;(high) mode. Internal;;;;;;;;;;;;;;;;;;;;;
;;pulldown  resistor (10k?).;;;;;;;;;;;;;;;;;;;;;
7;VSS;Negative Supply Voltage;;;7;;;7;;7;;;Passive;;1;True;;True;;VSS;0mm;;
;;(GND);;;;;;;;;;;;;;;;;;;;;
8;PDIO;OTP Programming Input;;;8;;;8;;8;;;Passive;;1;True;;True;;PDIO;0mm;;
;;and Data Input for Daisy;;;;;;;;;;;;;;;;;;;;;
;;Chain mode. Pin  has an;;;;;;;;;;;;;;;;;;;;;
;;internal pull-down resistor;;;;;;;;;;;;;;;;;;;;;
;;(74k?). Connect this pin to;;;;;;;;;;;;;;;;;;;;;
;;VSS if  programming is;;;;;;;;;;;;;;;;;;;;;
;;not required.;;;;;;;;;;;;;;;;;;;;;
9;DO;Data Output of;;;9;;;9;;9;;;Passive;;1;True;;True;;DO;0mm;;
;;Synchronous Serial;;;;;;;;;;;;;;;;;;;;;
;;Interface;;;;;;;;;;;;;;;;;;;;;
10;CLK;Clock Input of;;;10;;;10;;10;;;Passive;;1;True;;True;;CLK;0mm;;
;;Synchronous Serial;;;;;;;;;;;;;;;;;;;;;
;;"Interface; Schmitt-Trigger";;;;;;;;;;;;;;;;;;;;;
;;input;;;;;;;;;;;;;;;;;;;;;
11;CSn;Chip Select. Active low.;;;11;;;11;;11;;;Passive;;1;True;;True;;CSn;0mm;;
;;Schmitt-Trigger input,;;;;;;;;;;;;;;;;;;;;;
;;internal pull-up resistor  ;;;;;;;;;;;;;;;;;;;;;
;;(50k?);;;;;;;;;;;;;;;;;;;;;
12;PWM;Pulse Width Modulation;;;12;;;12;;12;;;Passive;;1;True;;True;;PWM;0mm;;
13;NC;Must be left unconnected;;;13;;;13;;13;;;Passive;;1;True;;True;;NC;0mm;;
14;NC;Must be left unconnected;;;14;;;14;;14;;;Passive;;1;True;;True;;NC;0mm;;
15;VDD3V3;3V-Regulator Output,;;;15;;;15;;15;;;Passive;;1;True;;True;;VDD3V3;0mm;;
;;internally regulated from;;;;;;;;;;;;;;;;;;;;;
;;VDD5V. Connect to  ;;;;;;;;;;;;;;;;;;;;;
;;VDD5V for 3V supply;;;;;;;;;;;;;;;;;;;;;
;;voltage. Do not load;;;;;;;;;;;;;;;;;;;;;
;;externally.;;;;;;;;;;;;;;;;;;;;;
16;VDD5V;Positive Supply Voltage,;;;16;;;16;;16;;;Passive;;1;True;;True;;VDD5V;0mm;;
;;3.0V to 5.5V;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
воскресенье 21-окт-21.2018   2:28:13 PM;;;;;;;;;;;;;;;;;;;;;;;Page 1 of 1
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
