;;;;;;;;;;;;;;;;;;;;;;;;
Report Generated From Altium Designer;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Designator;;Name;Desc;;;;QFN24;;;Type;;Owner;;Show;;Number;;Name;;;Pin/Pkg Length;;;
1;;CTS;;;;;1;;;Passive;;1;;True;;True;;CTS;;;0mm;;;
1;;S\U\S\P\;;;;;1;;;Passive;;1;;True;;True;;S\U\S\P\;;;0mm;;;
2;;GND;;;;;2;;;Passive;;1;;True;;True;;GND;;;0mm;;;
3;;D+;;;;;3;;;Passive;;1;;True;;True;;D+;;;0mm;;;
4;;D-;;;;;4;;;Passive;;1;;True;;True;;D-;;;0mm;;;
5;;Vio;;;;;5;;;Passive;;1;;True;;True;;Vio;;;0mm;;;
6;;VDD;;;;;6;;;Passive;;1;;True;;True;;VDD;;;0mm;;;
7;;REGIN;;;;;7;;;Passive;;1;;True;;True;;REGIN;;;0mm;;;
8;;VBUS;;;;;8;;;Passive;;1;;True;;True;;VBUS;;;0mm;;;
9;;R\S\T\;;;;;9;;;Passive;;1;;True;;True;;R\S\T\;;;0mm;;;
10;;CTS;;;;;10;;;Passive;;1;;True;;True;;CTS;;;0mm;;;
11;;RTS;;;;;11;;;Passive;;1;;True;;True;;RTS;;;0mm;;;
12;;RXD;;;;;12;;;Passive;;1;;True;;True;;RXD;;;0mm;;;
13;;TXD;;;;;13;;;Passive;;1;;True;;True;;TXD;;;0mm;;;
14;;GPIO.1;;;;;14;;;Passive;;1;;True;;True;;GPIO.1;;;0mm;;;
15;;GPIO.0;;;;;15;;;Passive;;1;;True;;True;;GPIO.0;;;0mm;;;
16;;Vpp;;;;;16;;;Passive;;1;;True;;True;;Vpp;;;0mm;;;
17;;S\U\S\P\;;;;;17;;;Passive;;1;;True;;True;;S\U\S\P\;;;0mm;;;
19;;RTS;;;;;19;;;Passive;;1;;True;;True;;RTS;;;0mm;;;
20;;RX;;;;;20;;;Passive;;1;;True;;True;;RX;;;0mm;;;
21;;TX;;;;;21;;;Passive;;1;;True;;True;;TX;;;0mm;;;
22;;GPIO.2;;;;;22;;;Passive;;1;;True;;True;;GPIO.2;;;0mm;;;
23;;GPIO.1;;;;;23;;;Passive;;1;;True;;True;;GPIO.1;;;0mm;;;
24;;GPIO.0;;;;;24;;;Passive;;1;;True;;True;;GPIO.0;;;0mm;;;
25;;GND;;;;;25;;;Passive;;1;;True;;True;;GND;;;0mm;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
вторник 15-янв-15.2019   2:35:59 PM;;;;;;;;;;;;;;;;;;;;;;;Page 1 of 1;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
