;;;;;;;;;;;;;;;;;;;;;;;;
Report Generated From Altium Designer;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Designator;;Name;Desc;;;;HTSSOP14;;;Type;;Owner;;Show;;Number;;Name;;;Pin/Pkg Length;;;
1;;Duty_Cycle;;;;;1;;;Passive;;1;;True;;True;;Duty_Cycle_Adj;;;0mm;;;
;;_Adj;;;;;;;;;;;;;;;;;;;;;;
2;;Delay_Adj;;;;;2;;;Passive;;1;;True;;True;;Delay_Adj;;;0mm;;;
3;;Osc_Freq_;;;;;3;;;Passive;;1;;True;;True;;Osc_Freq_Adj;;;0mm;;;
;;Adj;;;;;;;;;;;;;;;;;;;;;;
4;;Master;;;;;4;;;Passive;;1;;True;;True;;Master;;;0mm;;;
5;;Boot;;;;;5;;;Passive;;1;;True;;True;;Boot;;;0mm;;;
6;;OUT1;;;;;6;;;Passive;;1;;True;;True;;OUT1;;;0mm;;;
7;;OUT2;;;;;7;;;Passive;;1;;True;;True;;OUT2;;;0mm;;;
8;;Vps2;;;;;8;;;Passive;;1;;True;;True;;Vps2;;;0mm;;;
9;;Vps1;;;;;9;;;Passive;;1;;True;;True;;Vps1;;;0mm;;;
10;;+Vs;;;;;10;;;Passive;;1;;True;;True;;+Vs;;;0mm;;;
11;;GND;;;;;11;;;Passive;;1;;True;;True;;GND;;;0mm;;;
12;;SYNC;;;;;12;;;Passive;;1;;True;;True;;SYNC;;;0mm;;;
13;;Status_OK_;;;;;13;;;Passive;;1;;True;;True;;Status_OK_Flag;;;0mm;;;
;;Flag;;;;;;;;;;;;;;;;;;;;;;
14;;Input;;;;;14;;;Passive;;1;;True;;True;;Input;;;0mm;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
воскресенье 21-окт-21.2018   5:42:48 PM;;;;;;;;;;;;;;;;;;;;;;;Page 1 of 1;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
