;;;;;;;;;;;;;;;;;;;;;;;;
Report Generated From Altium Designer;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Designator;;Name;Desc;;;;DCA (R-PDSO-G56);;;Type;;Owner;;Show;;Number;;Name;;;Pin/Pkg Length;;;
1;;RT_CLK;;;;;1;;;Passive;;1;;True;;True;;RT_CLK;;;0mm;;;
2;;COMP;;;;;2;;;Passive;;1;;True;;True;;COMP;;;0mm;;;
3;;VSENSE;;;;;3;;;Passive;;1;;True;;True;;VSENSE;;;0mm;;;
4;;PWRGD;;;;;4;;;Passive;;1;;True;;True;;PWRGD;;;0mm;;;
5;;nOCTW;;;;;5;;;Passive;;1;;True;;True;;nOCTW;;;0mm;;;
6;;nFAULT;;;;;6;;;Passive;;1;;True;;True;;nFAULT;;;0mm;;;
7;;DTC;;;;;7;;;Passive;;1;;True;;True;;DTC;;;0mm;;;
8;;nSCS;;;;;8;;;Passive;;1;;True;;True;;nSCS;;;0mm;;;
9;;SDI;;;;;9;;;Passive;;1;;True;;True;;SDI;;;0mm;;;
10;;SDO;;;;;10;;;Passive;;1;;True;;True;;SDO;;;0mm;;;
11;;SCLK;;;;;11;;;Passive;;1;;True;;True;;SCLK;;;0mm;;;
12;;DC_CAL;;;;;12;;;Passive;;1;;True;;True;;DC_CAL;;;0mm;;;
13;;GVDD;;;;;13;;;Passive;;1;;True;;True;;GVDD;;;0mm;;;
14;;CP1;;;;;14;;;Passive;;1;;True;;True;;CP1;;;0mm;;;
15;;CP2;;;;;15;;;Passive;;1;;True;;True;;CP2;;;0mm;;;
16;;EN_GATE;;;;;16;;;Passive;;1;;True;;True;;EN_GATE;;;0mm;;;
17;;INH_A;;;;;17;;;Passive;;1;;True;;True;;INH_A;;;0mm;;;
18;;INL_A;;;;;18;;;Passive;;1;;True;;True;;INL_A;;;0mm;;;
19;;INH_B;;;;;19;;;Passive;;1;;True;;True;;INH_B;;;0mm;;;
20;;INL_B;;;;;20;;;Passive;;1;;True;;True;;INL_B;;;0mm;;;
21;;INH_C;;;;;21;;;Passive;;1;;True;;True;;INH_C;;;0mm;;;
22;;INL_C;;;;;22;;;Passive;;1;;True;;True;;INL_C;;;0mm;;;
23;;DVDD;;;;;23;;;Passive;;1;;True;;True;;DVDD;;;0mm;;;
24;;REF;;;;;24;;;Passive;;1;;True;;True;;REF;;;0mm;;;
