;;;;;;;;;;;;;;;;;;;;;;;;
Report Generated From Altium Designer;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Designator;;Name;Desc;;;;hssop-36_1590x1100x360;;;Type;;Owner;;Show;;Number;;Name;;;Pin/Pkg Length;;;
1;;GVDD_B;;;;;1;;;Passive;;1;;True;;True;;GVDD_B;;;0mm;;;
2;;nOTW;;;;;2;;;Passive;;1;;True;;True;;nOTW;;;0mm;;;
3;;nFAULT;;;;;3;;;Passive;;1;;True;;True;;nFAULT;;;0mm;;;
4;;PWM_A;;;;;4;;;Passive;;1;;True;;True;;PWM_A;;;0mm;;;
5;;nRESET_A;;;;;5;;;Passive;;1;;True;;True;;nRESET_AB;;;0mm;;;
;;B;;;;;;;;;;;;;;;;;;;;;;
6;;PWM_B;;;;;6;;;Passive;;1;;True;;True;;PWM_B;;;0mm;;;
7;;OC_ADJ;;;;;7;;;Passive;;1;;True;;True;;OC_ADJ;;;0mm;;;
8;;GND;;;;;8;;;Passive;;1;;True;;True;;GND;;;0mm;;;
9;;AGND;;;;;9;;;Passive;;1;;True;;True;;AGND;;;0mm;;;
10;;VREG;;;;;10;;;Passive;;1;;True;;True;;VREG;;;0mm;;;
11;;M3;;;;;11;;;Passive;;1;;True;;True;;M3;;;0mm;;;
12;;M2;;;;;12;;;Passive;;1;;True;;True;;M2;;;0mm;;;
13;;M1;;;;;13;;;Passive;;1;;True;;True;;M1;;;0mm;;;
14;;PWM_C;;;;;14;;;Passive;;1;;True;;True;;PWM_C;;;0mm;;;
15;;nRESET_C;;;;;15;;;Passive;;1;;True;;True;;nRESET_CD;;;0mm;;;
;;D;;;;;;;;;;;;;;;;;;;;;;
16;;PWM_D;;;;;16;;;Passive;;1;;True;;True;;PWM_D;;;0mm;;;
17;;VDD;;;;;17;;;Passive;;1;;True;;True;;VDD;;;0mm;;;
18;;GVDD_C;;;;;18;;;Passive;;1;;True;;True;;GVDD_C;;;0mm;;;
19;;GVDD_D;;;;;19;;;Passive;;1;;True;;True;;GVDD_D;;;0mm;;;
20;;BST_D;;;;;20;;;Passive;;1;;True;;True;;BST_D;;;0mm;;;
21;;PVDD_D;;;;;21;;;Passive;;1;;True;;True;;PVDD_D;;;0mm;;;
22;;OUT_D;;;;;22;;;Passive;;1;;True;;True;;OUT_D;;;0mm;;;
23;;GND_D;;;;;23;;;Passive;;1;;True;;True;;GND_D;;;0mm;;;
24;;GND_C;;;;;24;;;Passive;;1;;True;;True;;GND_C;;;0mm;;;
25;;OUT_C;;;;;25;;;Passive;;1;;True;;True;;OUT_C;;;0mm;;;
26;;PVDD_C;;;;;26;;;Passive;;1;;True;;True;;PVDD_C;;;0mm;;;
27;;BST_C;;;;;27;;;Passive;;1;;True;;True;;BST_C;;;0mm;;;
28;;BST_B;;;;;28;;;Passive;;1;;True;;True;;BST_B;;;0mm;;;
29;;PVDD_B;;;;;29;;;Passive;;1;;True;;True;;PVDD_B;;;0mm;;;
30;;OUT_B;;;;;30;;;Passive;;1;;True;;True;;OUT_B;;;0mm;;;
31;;GND_B;;;;;31;;;Passive;;1;;True;;True;;GND_B;;;0mm;;;
32;;GND_A;;;;;32;;;Passive;;1;;True;;True;;GND_A;;;0mm;;;
33;;OUT_A;;;;;33;;;Passive;;1;;True;;True;;OUT_A;;;0mm;;;
34;;PVDD_A;;;;;34;;;Passive;;1;;True;;True;;PVDD_A;;;0mm;;;
35;;BST_A;;;;;35;;;Passive;;1;;True;;True;;BST_A;;;0mm;;;
36;;GVDD_A;;;;;36;;;Passive;;1;;True;;True;;GVDD_A;;;0mm;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
четверг 10-фев-10.2022   1:00:54 PM;;;;;;;;;;;;;;;;;;;;;;;Page 1 of 1;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
