;;;;;;;;;;;;;;;;;;;;;;;;
Report Generated From Altium Designer;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Designator;;Name;Desc;;;;MSOP-10-P;;;Type;;Owner;;Show;;Number;;Name;;;Pin/Pkg Length;;;
1;;OUT2;;;;;1;;;Passive;;1;;True;;True;;OUT2;;;0mm;;;
2;;ISENSE;;;;;2;;;Passive;;1;;True;;True;;ISENSE;;;0mm;;;
3;;OUT1;;;;;3;;;Passive;;1;;True;;True;;OUT1;;;0mm;;;
4;;VCC;;;;;4;;;Passive;;1;;True;;True;;VCC;;;0mm;;;
5;;GND;;;;;5;;;Passive;;1;;True;;True;;GND;;;0mm;;;
6;;FAULTn;;;;;6;;;Passive;;1;;True;;True;;FAULTn;;;0mm;;;
7;;VSET;;;;;7;;;Passive;;1;;True;;True;;VSET;;;0mm;;;
8;;VREF;;;;;8;;;Passive;;1;;True;;True;;VREF;;;0mm;;;
9;;IN1;;;;;9;;;Passive;;1;;True;;True;;IN1;;;0mm;;;
10;;IN2;;;;;10;;;Passive;;1;;True;;True;;IN2;;;0mm;;;
11;;PPAD;;;;;11;;;Passive;;1;;True;;True;;PPAD;;;0mm;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
пятница 19-окт-19.2018   8:27:19 PM;;;;;;;;;;;;;;;;;;;;;;;Page 1 of 1;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
