;;;;;;;;;;;;;;;;;;;;;;;;
Report Generated From Altium Designer;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Designator;;Name;Desc;;;;DFN-10;;;Type;;Owner;;Show;;Number;;Name;;;Pin/Pkg Length;;;
0;;GND;;;;;0;;;Passive;;1;;False;;True;;GND;;;0mm;;;
1;;RO;;;;;1;;;Passive;;1;;True;;True;;RO;;;0mm;;;
2;;\R\E\;;;;;2;;;Passive;;1;;True;;True;;\R\E\;;;0mm;;;
3;;DE;;;;;3;;;Passive;;1;;True;;True;;DE;;;0mm;;;
4;;DI;;;;;4;;;Passive;;1;;True;;True;;DI;;;0mm;;;
5;;NC;;;;;5;;;Passive;;1;;True;;True;;NC;;;0mm;;;
6;;GND;;;;;6;;;Passive;;1;;True;;True;;GND;;;0mm;;;
7;;A/Y;;;;;7;;;Passive;;1;;True;;True;;A/Y;;;0mm;;;
8;;B/Z;;;;;8;;;Passive;;1;;True;;True;;B/Z;;;0mm;;;
9;;NC;;;;;9;;;Passive;;1;;True;;True;;NC;;;0mm;;;
10;;VCC;;;;;10;;;Passive;;1;;True;;True;;VCC;;;0mm;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
воскресенье 21-окт-21.2018   3:45:09 PM;;;;;;;;;;;;;;;;;;;;;;;Page 1 of 1;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
