;;;;;;;;;;;;;;;;;;;;;;;;
Report Generated From Altium Designer;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Designator;Name;Desc;;;SO_8P;;SO8_A PowerPad;;SO8_A PowerPad;;;SO8_A PowerPad;;Type;;Owner;Show;Number;;Name;;Pin/Pkg Length;;
1;Vcc;;;;1;;1;;1;;;1;;Passive;;1;True;True;;Vcc;;0mm;;
2;PGND;;;;2;;2;;2;;;2;;Passive;;1;True;True;;PGND;;0mm;;
3;IADJ;;;;3;;3;;3;;;3;;Passive;;1;True;True;;IADJ;;0mm;;
4;GND;;;;4;;4;;4;;;4;;Passive;;1;True;True;;GND;;0mm;;
5;FS;;;;5;;5;;5;;;5;;Passive;;1;True;True;;FS;;0mm;;
6;DIM;;;;6;;6;;6;;;6;;Passive;;1;True;True;;DIM;;0mm;;
7;LX;;;;7;;7;;7;;;7;;Passive;;1;True;True;;LX;;0mm;;
8;Vin;;;;8;;8;;8;;;8;;Passive;;1;True;True;;Vin;;0mm;;
9;PGND;;;;9;;9;;9;;;9;;Passive;;1;True;True;;PGND;;0mm;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
пятница 19-окт-19.2018   8:14:47 PM;;;;;;;;;;;;;;;;;;;;;;;Page 1 of 1;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
