;;;;;;;;;;;;;;;;;;;;;;;;
Report Generated From Altium Designer;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Designator;;Name;Desc;;;;WQFN28;;;Type;;Owner;;Show;;Number;;Name;;;Pin/Pkg Length;;;
1;;RHP;;;;;1;;;Passive;;1;;True;;True;;RHP;;;0mm;;;
2;;VOC;;;;;2;;;Passive;;1;;True;;True;;VOC;;;0mm;;;
3;;LHP;;;;;3;;;Passive;;1;;True;;True;;LHP;;;0mm;;;
4;;HPVDD;;;;;4;;;Passive;;1;;True;;True;;HPVDD;;;0mm;;;
5;;R3DIN;;;;;5;;;Passive;;1;;True;;True;;R3DIN;;;0mm;;;
6;;L3DIN;;;;;6;;;Passive;;1;;True;;True;;L3DIN;;;0mm;;;
7;;BYPASS;;;;;7;;;Passive;;1;;True;;True;;BYPASS;;;0mm;;;
8;;LIN;;;;;8;;;Passive;;1;;True;;True;;LIN;;;0mm;;;
9;;RIN;;;;;9;;;Passive;;1;;True;;True;;RIN;;;0mm;;;
10;;GND;;;;;10;;;Passive;;1;;True;;True;;GND;;;0mm;;;
11;;NC;;;;;11;;;Passive;;1;;True;;True;;NC;;;0mm;;;
12;;LSVDD;;;;;12;;;Passive;;1;;True;;True;;LSVDD;;;0mm;;;
13;;RLS+;;;;;13;;;Passive;;1;;True;;True;;RLS+;;;0mm;;;
14;;RLS-;;;;;14;;;Passive;;1;;True;;True;;RLS-;;;0mm;;;
15;;NC;;;;;15;;;Passive;;1;;True;;True;;NC;;;0mm;;;
16;;NC;;;;;16;;;Passive;;1;;True;;True;;NC;;;0mm;;;
17;;I2CVDD;;;;;17;;;Passive;;1;;True;;True;;I2CVDD;;;0mm;;;
18;;LSGND;;;;;18;;;Passive;;1;;True;;True;;LSGND;;;0mm;;;
19;;VDD;;;;;19;;;Passive;;1;;True;;True;;VDD;;;0mm;;;
20;;ADR;;;;;20;;;Passive;;1;;True;;True;;ADR;;;0mm;;;
21;;NC;;;;;21;;;Passive;;1;;True;;True;;NC;;;0mm;;;
22;;LLS-;;;;;22;;;Passive;;1;;True;;True;;LLS-;;;0mm;;;
23;;LLS+;;;;;23;;;Passive;;1;;True;;True;;LLS+;;;0mm;;;
24;;LSVDD;;;;;24;;;Passive;;1;;True;;True;;LSVDD;;;0mm;;;
25;;SDA;;;;;25;;;Passive;;1;;True;;True;;SDA;;;0mm;;;
26;;SCL;;;;;26;;;Passive;;1;;True;;True;;SCL;;;0mm;;;
27;;HPS;;;;;27;;;Passive;;1;;True;;True;;HPS;;;0mm;;;
28;;GND;;;;;28;;;Passive;;1;;True;;True;;GND;;;0mm;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
понедельник 21-янв-21.2019   1:03:12 PM;;;;;;;;;;;;;;;;;;;;;;;Page 1 of 1;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
