;;;;;;;;;;;;;;;;;;;;;;;;
Report Generated From Altium Designer;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Designator;;Name;Desc;;;;LMR16006;;;Type;;Owner;;Show;;Number;;Name;;;Pin/Pkg Length;;;
1;;VIN;;;;;1;;;Passive;;1;;True;;True;;VIN;;;0mm;;;
2;;VIN;;;;;2;;;Passive;;1;;True;;True;;VIN;;;0mm;;;
3;;GND;;;;;3;;;Passive;;1;;True;;True;;GND;;;0mm;;;
4;;GND;;;;;4;;;Passive;;1;;True;;True;;GND;;;0mm;;;
5;;nSHDN;;;;;5;;;Passive;;1;;True;;True;;nSHDN;;;0mm;;;
6;;VOUT;;;;;6;;;Passive;;1;;True;;True;;VOUT;;;0mm;;;
7;;VOUT;;;;;7;;;Passive;;1;;True;;True;;VOUT;;;0mm;;;
8;;VOUT;;;;;8;;;Passive;;1;;True;;True;;VOUT;;;0mm;;;
9;;GND;;;;;9;;;Passive;;1;;True;;True;;GND;;;0mm;;;
10;;GND;;;;;10;;;Passive;;1;;True;;True;;GND;;;0mm;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
среда 17-окт-17.2018   7:43:58 PM;;;;;;;;;;;;;;;;;;;;;;;Page 1 of 1;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
