;;;;;;;;;;;;;;;;;;;;;;;;
Report Generated From Altium Designer;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Designator;;Name;Desc;;;;LGA-24;;;Type;;Owner;;Show;;Number;;Name;;;Pin/Pkg Length;;;
1;;VDDIO;;;;;1;;;Passive;;1;;True;;True;;VDDIO;;;0mm;;;
2;;SCL/SPC;;;;;2;;;Passive;;1;;True;;True;;SCL/SPC;;;0mm;;;
3;;VDDIO;;;;;3;;;Passive;;1;;True;;True;;VDDIO;;;0mm;;;
4;;SDA/SDI/S;;;;;4;;;Passive;;1;;True;;True;;SDA/SDI/SDO;;;0mm;;;
;;DO;;;;;;;;;;;;;;;;;;;;;;
5;;SDO_A/G;;;;;5;;;Passive;;1;;True;;True;;SDO_A/G;;;0mm;;;
6;;SDO_M;;;;;6;;;Passive;;1;;True;;True;;SDO_M;;;0mm;;;
7;;CS_A/G;;;;;7;;;Passive;;1;;True;;True;;CS_A/G;;;0mm;;;
8;;CS_M;;;;;8;;;Passive;;1;;True;;True;;CS_M;;;0mm;;;
9;;DRDY_M;;;;;9;;;Passive;;1;;True;;True;;DRDY_M;;;0mm;;;
10;;INT_M;;;;;10;;;Passive;;1;;True;;True;;INT_M;;;0mm;;;
11;;INT1_A/G;;;;;11;;;Passive;;1;;True;;True;;INT1_A/G;;;0mm;;;
12;;INT2_A/G;;;;;12;;;Passive;;1;;True;;True;;INT2_A/G;;;0mm;;;
13;;DEN_A/G;;;;;13;;;Passive;;1;;True;;True;;DEN_A/G;;;0mm;;;
14;;RES;;;;;14;;;Passive;;1;;True;;True;;RES;;;0mm;;;
15;;RES;;;;;15;;;Passive;;1;;True;;True;;RES;;;0mm;;;
16;;RES;;;;;16;;;Passive;;1;;True;;True;;RES;;;0mm;;;
17;;RES;;;;;17;;;Passive;;1;;True;;True;;RES;;;0mm;;;
18;;RES;;;;;18;;;Passive;;1;;True;;True;;RES;;;0mm;;;
19;;GND;;;;;19;;;Passive;;1;;True;;True;;GND;;;0mm;;;
20;;GND;;;;;20;;;Passive;;1;;True;;True;;GND;;;0mm;;;
21;;CAP;;;;;21;;;Passive;;1;;True;;True;;CAP;;;0mm;;;
22;;VDD;;;;;22;;;Passive;;1;;True;;True;;VDD;;;0mm;;;
23;;VDD;;;;;23;;;Passive;;1;;True;;True;;VDD;;;0mm;;;
24;;C1;;;;;24;;;Passive;;1;;True;;True;;C1;;;0mm;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
суббота 20-окт-20.2018   7:43:50 PM;;;;;;;;;;;;;;;;;;;;;;;Page 1 of 1;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
