;;;;;;;;;;;;;;;;;;;;;;;;
Report Generated From Altium Designer;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Designator;;Name;Desc;;;;MAX3250;;;Type;;Owner;;Show;;Number;;Name;;;Pin/Pkg Length;;;
1;;C1-;;;;;1;;;Passive;;1;;True;;True;;C1-;;;0mm;;;
2;;R1OUT;;;;;2;;;Passive;;1;;True;;True;;R1OUT;;;0mm;;;
3;;R2OUT;;;;;3;;;Passive;;1;;True;;True;;R2OUT;;;0mm;;;
4;;T1IN;;;;;4;;;Passive;;1;;True;;True;;T1IN;;;0mm;;;
5;;T2IN;;;;;5;;;Passive;;1;;True;;True;;T2IN;;;0mm;;;
6;;NC;;;;;6;;;Passive;;1;;True;;True;;NC;;;0mm;;;
7;;NC;;;;;7;;;Passive;;1;;True;;True;;NC;;;0mm;;;
8;;C1+;;;;;8;;;Passive;;1;;True;;True;;C1+;;;0mm;;;
9;;C3+;;;;;9;;;Passive;;1;;True;;True;;C3+;;;0mm;;;
10;;V+;;;;;10;;;Passive;;1;;True;;True;;V+;;;0mm;;;
11;;C3-;;;;;11;;;Passive;;1;;True;;True;;C3-;;;0mm;;;
12;;C4+;;;;;12;;;Passive;;1;;True;;True;;C4+;;;0mm;;;
13;;C4-;;;;;13;;;Passive;;1;;True;;True;;C4-;;;0mm;;;
14;;V-;;;;;14;;;Passive;;1;;True;;True;;V-;;;0mm;;;
15;;ISOCOM;;;;;15;;;Passive;;1;;True;;True;;ISOCOM;;;0mm;;;
16;;T2OUT;;;;;16;;;Passive;;1;;True;;True;;T2OUT;;;0mm;;;
17;;T1OUT;;;;;17;;;Passive;;1;;True;;True;;T1OUT;;;0mm;;;
18;;R2IN;;;;;18;;;Passive;;1;;True;;True;;R2IN;;;0mm;;;
19;;R1IN;;;;;19;;;Passive;;1;;True;;True;;R1IN;;;0mm;;;
20;;ISOVCC;;;;;20;;;Passive;;1;;True;;True;;ISOVCC;;;0mm;;;
21;;C2+;;;;;21;;;Passive;;1;;True;;True;;C2+;;;0mm;;;
22;;NC;;;;;22;;;Passive;;1;;True;;True;;NC;;;0mm;;;
23;;NC;;;;;23;;;Passive;;1;;True;;True;;NC;;;0mm;;;
24;;S\H\D\N\;;;;;24;;;Passive;;1;;True;;True;;S\H\D\N\;;;0mm;;;
25;;F\A\U\L\T\;;;;;25;;;Passive;;1;;True;;True;;F\A\U\L\T\;;;0mm;;;
26;;GND;;;;;26;;;Passive;;1;;True;;True;;GND;;;0mm;;;
27;;C2-;;;;;27;;;Passive;;1;;True;;True;;C2-;;;0mm;;;
28;;VCC;;;;;28;;;Passive;;1;;True;;True;;VCC;;;0mm;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
воскресенье 21-окт-21.2018   6:41:34 PM;;;;;;;;;;;;;;;;;;;;;;;Page 1 of 1;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
