;;;;;;;;;;;;;;;;;;;;;;;
Report Generated From Altium Designer;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Designator;Name;;Desc;;;TSSOP16_A;;;TSSOP16_A;;;Type;;Owner;Show;;Number;;Name;;Pin/Pkg Length;;
1;A-;;;;;1;;;1;;;Passive;;1;True;;True;;A-;;0mm;;
2;A+;;;;;2;;;2;;;Passive;;1;True;;True;;A+;;0mm;;
3;YA;;;;;3;;;3;;;Passive;;1;True;;True;;YA;;0mm;;
4;ENAC;;;;;4;;;4;;;Passive;;1;True;;True;;ENAC;;0mm;;
5;YC;;;;;5;;;5;;;Passive;;1;True;;True;;YC;;0mm;;
6;C+;;;;;6;;;6;;;Passive;;1;True;;True;;C+;;0mm;;
7;C-;;;;;7;;;7;;;Passive;;1;True;;True;;C-;;0mm;;
8;GND;;;;;8;;;8;;;Passive;;1;True;;True;;GND;;0mm;;
9;D-;;;;;9;;;9;;;Passive;;1;True;;True;;D-;;0mm;;
10;D+;;;;;10;;;10;;;Passive;;1;True;;True;;D+;;0mm;;
11;YD;;;;;11;;;11;;;Passive;;1;True;;True;;YD;;0mm;;
12;ENBD;;;;;12;;;12;;;Passive;;1;True;;True;;ENBD;;0mm;;
13;YB;;;;;13;;;13;;;Passive;;1;True;;True;;YB;;0mm;;
14;B+;;;;;14;;;14;;;Passive;;1;True;;True;;B+;;0mm;;
15;B-;;;;;15;;;15;;;Passive;;1;True;;True;;B-;;0mm;;
16;VCC;;;;;16;;;16;;;Passive;;1;True;;True;;VCC;;0mm;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
воскресенье 21-окт-21.2018   7:25:27 PM;;;;;;;;;;;;;;;;;;;;;;;Page 1 of 1
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
