;;;;;;;;;;;;;;;;;;;;;;;
Report Generated From Altium Designer;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Designator;Name;;Desc;;;SO8_H;;;SO-16_M;;;Type;;Owner;Show;;Number;;Name;;Pin/Pkg Length;;
1;Vcc;;;;;1;;;1;;;Passive;;1;True;;True;;Vcc;;0mm;;
2;Vcc;;;;;2;;;2;;;Passive;;1;True;;True;;Vcc;;0mm;;
3;IN-;;;;;3;;;3;;;Passive;;1;True;;True;;IN-;;0mm;;
4;NC;;;;;4;;;4;;;Passive;;1;True;;True;;NC;;0mm;;
5;NC;;;;;5;;;5;;;Passive;;1;True;;True;;NC;;0mm;;
6;IN+;;;;;6;;;6;;;Passive;;1;True;;True;;IN+;;0mm;;
7;Vee;;;;;7;;;7;;;Passive;;1;True;;True;;Vee;;0mm;;
8;Vee;;;;;8;;;8;;;Passive;;1;True;;True;;Vee;;0mm;;
9;EN;;;;;9;;;9;;;Passive;;1;True;;True;;EN;;0mm;;
10;REF;;;;;10;;;10;;;Passive;;1;True;;True;;REF;;0mm;;
11;Vee;;;;;11;;;11;;;Passive;;1;True;;True;;Vee;;0mm;;
12;Vee;;;;;12;;;12;;;Passive;;1;True;;True;;Vee;;0mm;;
13;Vee;;;;;13;;;13;;;Passive;;1;True;;True;;Vee;;0mm;;
14;Vee;;;;;14;;;14;;;Passive;;1;True;;True;;Vee;;0mm;;
15;OUT;;;;;15;;;15;;;Passive;;1;True;;True;;OUT;;0mm;;
16;GND;;;;;16;;;16;;;Passive;;1;True;;True;;GND;;0mm;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
понедельник 21-янв-21.2019   2:59:19 PM;;;;;;;;;;;;;;;;;;;;;;;Page 1 of 1
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
