;;;;;;;;;;;;;;;;;;;;;;;;
Report Generated From Altium Designer;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Designator;;Name;Desc;;;;PQFN32;;;Type;;Owner;;Show;;Number;;Name;;;Pin/Pkg Length;;;
1;;IN2;;;;;1;;;Passive;;1;;True;;True;;IN2;;;0mm;;;
2;;IN1;;;;;2;;;Passive;;1;;True;;True;;IN1;;;0mm;;;
3;;SLEW;;;;;3;;;Passive;;1;;True;;True;;SLEW;;;0mm;;;
4;;VPWR;;;;;4;;;Passive;;1;;True;;True;;VPWR;;;0mm;;;
5;;AGND;;;;;5;;;Passive;;1;;True;;True;;AGND;;;0mm;;;
6;;VPWR;;;;;6;;;Passive;;1;;True;;True;;VPWR;;;0mm;;;
7;;INV;;;;;7;;;Passive;;1;;True;;True;;INV;;;0mm;;;
8;;FB;;;;;8;;;Passive;;1;;True;;True;;FB;;;0mm;;;
9;;NC;;;;;9;;;Passive;;1;;True;;True;;NC;;;0mm;;;
10;;EN;;;;;10;;;Passive;;1;;True;;True;;EN;;;0mm;;;
11;;VPWR;;;;;11;;;Passive;;1;;True;;True;;VPWR;;;0mm;;;
12;;OUT1;;;;;12;;;Passive;;1;;True;;True;;OUT1;;;0mm;;;
13;;OUT1;;;;;13;;;Passive;;1;;True;;True;;OUT1;;;0mm;;;
14;;OUT1;;;;;14;;;Passive;;1;;True;;True;;OUT1;;;0mm;;;
15;;OUT1;;;;;15;;;Passive;;1;;True;;True;;OUT1;;;0mm;;;
16;;D\2\;;;;;16;;;Passive;;1;;True;;True;;D\2\;;;0mm;;;
17;;NC;;;;;17;;;Passive;;1;;True;;True;;NC;;;0mm;;;
18;;PGND;;;;;18;;;Passive;;1;;True;;True;;PGND;;;0mm;;;
19;;PGND;;;;;19;;;Passive;;1;;True;;True;;PGND;;;0mm;;;
20;;PGND;;;;;20;;;Passive;;1;;True;;True;;PGND;;;0mm;;;
21;;S\F\;;;;;21;;;Passive;;1;;True;;True;;S\F\;;;0mm;;;
22;;PGND;;;;;22;;;Passive;;1;;True;;True;;PGND;;;0mm;;;
23;;PGND;;;;;23;;;Passive;;1;;True;;True;;PGND;;;0mm;;;
24;;PGND;;;;;24;;;Passive;;1;;True;;True;;PGND;;;0mm;;;
25;;NC;;;;;25;;;Passive;;1;;True;;True;;NC;;;0mm;;;
26;;D1;;;;;26;;;Passive;;1;;True;;True;;D1;;;0mm;;;
27;;OUT2;;;;;27;;;Passive;;1;;True;;True;;OUT2;;;0mm;;;
28;;OUT2;;;;;28;;;Passive;;1;;True;;True;;OUT2;;;0mm;;;
29;;OUT2;;;;;29;;;Passive;;1;;True;;True;;OUT2;;;0mm;;;
30;;OUT2;;;;;30;;;Passive;;1;;True;;True;;OUT2;;;0mm;;;
31;;VPWR;;;;;31;;;Passive;;1;;True;;True;;VPWR;;;0mm;;;
32;;CCP;;;;;32;;;Passive;;1;;True;;True;;CCP;;;0mm;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
воскресенье 21-окт-21.2018   2:17:23 PM;;;;;;;;;;;;;;;;;;;;;;;Page 1 of 1;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
