;;;;;;;;;;;;;;;;;;;;;;;;
Report Generated From Altium Designer;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Designator;;Name;Desc;;;;TSOP-86;;;Type;;Owner;;Show;;Number;;Name;;;Pin/Pkg Length;;;
1;;VDD;;;;;1;;;Passive;;1;;True;;True;;VDD;;;0mm;;;
2;;DQ0;;;;;2;;;Passive;;1;;True;;True;;DQ0;;;0mm;;;
3;;VDDQ;;;;;3;;;Passive;;1;;True;;True;;VDDQ;;;0mm;;;
4;;DQ1;;;;;4;;;Passive;;1;;True;;True;;DQ1;;;0mm;;;
5;;DQ2;;;;;5;;;Passive;;1;;True;;True;;DQ2;;;0mm;;;
6;;VSSQ;;;;;6;;;Passive;;1;;True;;True;;VSSQ;;;0mm;;;
7;;DQ3;;;;;7;;;Passive;;1;;True;;True;;DQ3;;;0mm;;;
8;;DQ4;;;;;8;;;Passive;;1;;True;;True;;DQ4;;;0mm;;;
9;;VDDQ;;;;;9;;;Passive;;1;;True;;True;;VDDQ;;;0mm;;;
10;;DQ5;;;;;10;;;Passive;;1;;True;;True;;DQ5;;;0mm;;;
11;;DQ6;;;;;11;;;Passive;;1;;True;;True;;DQ6;;;0mm;;;
12;;VSSQ;;;;;12;;;Passive;;1;;True;;True;;VSSQ;;;0mm;;;
13;;DQ7;;;;;13;;;Passive;;1;;True;;True;;DQ7;;;0mm;;;
14;;NC;;;;;14;;;Passive;;1;;True;;True;;NC;;;0mm;;;
15;;VDD;;;;;15;;;Passive;;1;;True;;True;;VDD;;;0mm;;;
16;;DQM0;;;;;16;;;Passive;;1;;True;;True;;DQM0;;;0mm;;;
17;;WE#;;;;;17;;;Passive;;1;;True;;True;;WE#;;;0mm;;;
18;;CAS#;;;;;18;;;Passive;;1;;True;;True;;CAS#;;;0mm;;;
19;;RAS#;;;;;19;;;Passive;;1;;True;;True;;RAS#;;;0mm;;;
20;;CS#;;;;;20;;;Passive;;1;;True;;True;;CS#;;;0mm;;;
21;;NC;;;;;21;;;Passive;;1;;True;;True;;NC;;;0mm;;;
22;;BA0;;;;;22;;;Passive;;1;;True;;True;;BA0;;;0mm;;;
23;;BA1;;;;;23;;;Passive;;1;;True;;True;;BA1;;;0mm;;;
24;;A10;;;;;24;;;Passive;;1;;True;;True;;A10;;;0mm;;;
25;;A0;;;;;25;;;Passive;;1;;True;;True;;A0;;;0mm;;;
26;;A1;;;;;26;;;Passive;;1;;True;;True;;A1;;;0mm;;;
27;;A2;;;;;27;;;Passive;;1;;True;;True;;A2;;;0mm;;;
28;;DQM2;;;;;28;;;Passive;;1;;True;;True;;DQM2;;;0mm;;;
29;;VDD;;;;;29;;;Passive;;1;;True;;True;;VDD;;;0mm;;;
30;;NC;;;;;30;;;Passive;;1;;True;;True;;NC;;;0mm;;;
31;;DQ16;;;;;31;;;Passive;;1;;True;;True;;DQ16;;;0mm;;;
32;;VSSQ;;;;;32;;;Passive;;1;;True;;True;;VSSQ;;;0mm;;;
33;;DQ17;;;;;33;;;Passive;;1;;True;;True;;DQ17;;;0mm;;;
34;;DQ18;;;;;34;;;Passive;;1;;True;;True;;DQ18;;;0mm;;;
35;;VDDQ;;;;;35;;;Passive;;1;;True;;True;;VDDQ;;;0mm;;;
36;;DQ19;;;;;36;;;Passive;;1;;True;;True;;DQ19;;;0mm;;;
37;;DQ20;;;;;37;;;Passive;;1;;True;;True;;DQ20;;;0mm;;;
38;;VSSQ;;;;;38;;;Passive;;1;;True;;True;;VSSQ;;;0mm;;;
39;;DQ21;;;;;39;;;Passive;;1;;True;;True;;DQ21;;;0mm;;;
40;;DQ22;;;;;40;;;Passive;;1;;True;;True;;DQ22;;;0mm;;;
41;;VDDQ;;;;;41;;;Passive;;1;;True;;True;;VDDQ;;;0mm;;;
42;;DQ23;;;;;42;;;Passive;;1;;True;;True;;DQ23;;;0mm;;;
43;;VDD;;;;;43;;;Passive;;1;;True;;True;;VDD;;;0mm;;;
44;;VSS;;;;;44;;;Passive;;1;;True;;True;;VSS;;;0mm;;;
45;;DQ24;;;;;45;;;Passive;;1;;True;;True;;DQ24;;;0mm;;;
46;;VSSQ;;;;;46;;;Passive;;1;;True;;True;;VSSQ;;;0mm;;;
47;;DQ25;;;;;47;;;Passive;;1;;True;;True;;DQ25;;;0mm;;;
48;;DQ26;;;;;48;;;Passive;;1;;True;;True;;DQ26;;;0mm;;;
49;;VDDQ;;;;;49;;;Passive;;1;;True;;True;;VDDQ;;;0mm;;;
50;;DQ27;;;;;50;;;Passive;;1;;True;;True;;DQ27;;;0mm;;;
51;;DQ28;;;;;51;;;Passive;;1;;True;;True;;DQ28;;;0mm;;;
52;;VSSQ;;;;;52;;;Passive;;1;;True;;True;;VSSQ;;;0mm;;;
53;;DQ29;;;;;53;;;Passive;;1;;True;;True;;DQ29;;;0mm;;;
54;;DQ30;;;;;54;;;Passive;;1;;True;;True;;DQ30;;;0mm;;;
55;;VDDQ;;;;;55;;;Passive;;1;;True;;True;;VDDQ;;;0mm;;;
;;;;;;;;;;;;;;;;;;;;;;;;
понедельник 22-окт-22.2018   10:36:46 AM;;;;;;;;;;;;;;;;;;;;;;;Page 1 of 2;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Designator;;Name;Desc;;;;TSOP-86;;;Type;;Owner;;Show;;Number;;Name;;;Pin/Pkg Length;;;
56;;DQ31;;;;;56;;;Passive;;1;;True;;True;;DQ31;;;0mm;;;
57;;NC;;;;;57;;;Passive;;1;;True;;True;;NC;;;0mm;;;
58;;VSS;;;;;58;;;Passive;;1;;True;;True;;VSS;;;0mm;;;
59;;DQM3;;;;;59;;;Passive;;1;;True;;True;;DQM3;;;0mm;;;
60;;A3;;;;;60;;;Passive;;1;;True;;True;;A3;;;0mm;;;
61;;A4;;;;;61;;;Passive;;1;;True;;True;;A4;;;0mm;;;
62;;A5;;;;;62;;;Passive;;1;;True;;True;;A5;;;0mm;;;
63;;A6;;;;;63;;;Passive;;1;;True;;True;;A6;;;0mm;;;
64;;A7;;;;;64;;;Passive;;1;;True;;True;;A7;;;0mm;;;
65;;A8;;;;;65;;;Passive;;1;;True;;True;;A8;;;0mm;;;
66;;A9;;;;;66;;;Passive;;1;;True;;True;;A9;;;0mm;;;
67;;CKE;;;;;67;;;Passive;;1;;True;;True;;CKE;;;0mm;;;
68;;CLK;;;;;68;;;Passive;;1;;True;;True;;CLK;;;0mm;;;
69;;NC;;;;;69;;;Passive;;1;;True;;True;;NC;;;0mm;;;
70;;NU;;;;;70;;;Passive;;1;;True;;True;;NU;;;0mm;;;
71;;DQM1;;;;;71;;;Passive;;1;;True;;True;;DQM1;;;0mm;;;
72;;VSS;;;;;72;;;Passive;;1;;True;;True;;VSS;;;0mm;;;
73;;NC;;;;;73;;;Passive;;1;;True;;True;;NC;;;0mm;;;
74;;DQ8;;;;;74;;;Passive;;1;;True;;True;;DQ8;;;0mm;;;
75;;VDDQ;;;;;75;;;Passive;;1;;True;;True;;VDDQ;;;0mm;;;
76;;DQ9;;;;;76;;;Passive;;1;;True;;True;;DQ9;;;0mm;;;
77;;DQ10;;;;;77;;;Passive;;1;;True;;True;;DQ10;;;0mm;;;
78;;VSSQ;;;;;78;;;Passive;;1;;True;;True;;VSSQ;;;0mm;;;
79;;DQ11;;;;;79;;;Passive;;1;;True;;True;;DQ11;;;0mm;;;
80;;DQ12;;;;;80;;;Passive;;1;;True;;True;;DQ12;;;0mm;;;
81;;VDDQ;;;;;81;;;Passive;;1;;True;;True;;VDDQ;;;0mm;;;
82;;DQ13;;;;;82;;;Passive;;1;;True;;True;;DQ13;;;0mm;;;
83;;DQ14;;;;;83;;;Passive;;1;;True;;True;;DQ14;;;0mm;;;
84;;VSSQ;;;;;84;;;Passive;;1;;True;;True;;VSSQ;;;0mm;;;
85;;DQ15;;;;;85;;;Passive;;1;;True;;True;;DQ15;;;0mm;;;
86;;VSS;;;;;86;;;Passive;;1;;True;;True;;VSS;;;0mm;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
понедельник 22-окт-22.2018   10:36:46 AM;;;;;;;;;;;;;;;;;;;;;;;Page 2 of 2;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
