;;;;;;;;;;;;;;;;;;;;;;;;;
Report Generated From Altium Designer;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Designator;Name;Desc;R0603x4;R0402_H;R0603_H;R0805_A;R0805_H;R1206_A;R1206_H;R1210_A;R1210_H;R2010_A;R2010_H;;R2512_A;R2512_H;R0603_A;R0603x4;Type;Owner;Show;Number;Name;Pin/Pkg;
1;1;1;1;;1;1;1;1;1;1;1;1;1;;1;1;1;1;Passiv;1;True;False;1;Length;0mm
;;;;;;;;;;;;;;;;;;;e;;;;;;
2;2;2;2;;2;2;2;2;2;2;2;2;2;;2;2;2;2;Passiv;1;True;False;2;0mm;
;;;;;;;;;;;;;;;;;;;e;;;;;;
3;3;3;3;;3;3;3;3;3;3;3;3;3;;3;3;3;3;Passiv;1;True;False;3;0mm;
;;;;;;;;;;;;;;;;;;;e;;;;;;
4;4;4;4;;4;4;4;4;4;4;4;4;4;;4;4;4;4;Passiv;1;True;False;4;0mm;
;;;;;;;;;;;;;;;;;;;e;;;;;;
5;5;5;5;;5;5;5;5;5;5;5;5;5;;5;5;5;5;Passiv;1;True;False;5;0mm;
;;;;;;;;;;;;;;;;;;;e;;;;;;
6;6;6;6;;6;6;6;6;6;6;6;6;6;;6;6;6;6;Passiv;1;True;False;6;0mm;
;;;;;;;;;;;;;;;;;;;e;;;;;;
7;7;7;7;;7;7;7;7;7;7;7;7;7;;7;7;7;7;Passiv;1;True;False;7;0mm;
;;;;;;;;;;;;;;;;;;;e;;;;;;
8;8;8;8;;8;8;8;8;8;8;8;8;8;;8;8;8;8;Passiv;1;True;False;8;0mm;
;;;;;;;;;;;;;;;;;;;e;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
понедельник 22-окт-22.2018   2:33:28 PM;;;;;;;;;;;;;;;;;;;;;;;Page 1 of 1;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
