;;;;;;;;;;;;;;;;;;;;;;;;
Report Generated From Altium Designer;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Designator;;Name;Desc;;;;R0603X8;;;Type;;Owner;;Show;;Number;;Name;;;Pin/Pkg Length;;;
1;;1;;;;;1;;;Passive;;1;;True;;False;;1;;;0mm;;;
2;;2;;;;;2;;;Passive;;1;;True;;False;;2;;;0mm;;;
3;;3;;;;;3;;;Passive;;1;;True;;False;;3;;;0mm;;;
4;;4;;;;;4;;;Passive;;1;;True;;False;;4;;;0mm;;;
5;;5;;;;;5;;;Passive;;1;;True;;False;;5;;;0mm;;;
6;;6;;;;;6;;;Passive;;1;;True;;False;;6;;;0mm;;;
7;;7;;;;;7;;;Passive;;1;;True;;False;;7;;;0mm;;;
8;;8;;;;;8;;;Passive;;1;;True;;False;;8;;;0mm;;;
9;;9;;;;;9;;;Passive;;1;;True;;False;;9;;;0mm;;;
10;;10;;;;;10;;;Passive;;1;;True;;False;;10;;;0mm;;;
11;;11;;;;;11;;;Passive;;1;;True;;False;;11;;;0mm;;;
12;;12;;;;;12;;;Passive;;1;;True;;False;;12;;;0mm;;;
13;;13;;;;;13;;;Passive;;1;;True;;False;;13;;;0mm;;;
14;;14;;;;;14;;;Passive;;1;;True;;False;;14;;;0mm;;;
15;;15;;;;;15;;;Passive;;1;;True;;False;;15;;;0mm;;;
16;;16;;;;;16;;;Passive;;1;;True;;False;;16;;;0mm;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
понедельник 22-окт-22.2018   2:37:49 PM;;;;;;;;;;;;;;;;;;;;;;;Page 1 of 1;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
