;;;;;;;;;;;;;;;;;;;;;;;
Report Generated From Altium Designer;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Designator;Name;;;;Desc;;;VFQFPN36;;VFQFPN36_H;;;Type;;Owner;Show;;Number;;Name;Pin/Pkg Length;;
1;VDD_3;;;;;;;1;;1;;;Passive;;1;True;;True;;VDD_3;0mm;;
2;OSC_IN;;;;;;;2;;2;;;Passive;;1;True;;True;;OSC_IN;0mm;;
3;OSC_OUT;;;;;;;3;;3;;;Passive;;1;True;;True;;OSC_OUT;0mm;;
4;NRST;;;;;;;4;;4;;;Passive;;1;True;;True;;NRST;0mm;;
5;VSSA;;;;;;;5;;5;;;Passive;;1;True;;True;;VSSA;0mm;;
6;VDDA;;;;;;;6;;6;;;Passive;;1;True;;True;;VDDA;0mm;;
7;PA0 / WKUP / USART2_CTS /;;;;;;;7;;7;;;Passive;;1;True;;True;;PA0 / WKUP /;0mm;;
;ADC12_IN0 / TIM2_CH1_ETR;;;;;;;;;;;;;;;;;;;USART2_CTS /;;;
;;;;;;;;;;;;;;;;;;;;ADC12_IN0 /TI;;;
;;;;;;;;;;;;;;;;;;;;M2_CH1_ETR;;;
8;PA1 / USART2_RTS /;;;;;;;8;;8;;;Passive;;1;True;;True;;PA1 /;0mm;;
;ADC12_IN1 / TIM2_CH2;;;;;;;;;;;;;;;;;;;USART2_RTS /;;;
;;;;;;;;;;;;;;;;;;;;ADC12_IN1 /;;;
;;;;;;;;;;;;;;;;;;;;TIM2_CH2;;;
9;PA2 / USART2_TX /;;;;;;;9;;9;;;Passive;;1;True;;True;;PA2 /;0mm;;
;ADC12_IN2 / TIM2_CH3;;;;;;;;;;;;;;;;;;;USART2_TX /;;;
;;;;;;;;;;;;;;;;;;;;ADC12_IN2 /;;;
;;;;;;;;;;;;;;;;;;;;TIM2_CH3;;;
10;PA3 / USART2_RX /;;;;;;;10;;10;;;Passive;;1;True;;True;;PA3 /;0mm;;
;ADC12_IN3 / TIM2_CH4;;;;;;;;;;;;;;;;;;;USART2_RX /;;;
;;;;;;;;;;;;;;;;;;;;ADC12_IN3 /;;;
;;;;;;;;;;;;;;;;;;;;TIM2_CH4;;;
11;PA4 / SPI1_NSS /;;;;;;;11;;11;;;Passive;;1;True;;True;;PA4 /;0mm;;
;USART2_CK / ADC12_IN4;;;;;;;;;;;;;;;;;;;SPI1_NSS /;;;
;;;;;;;;;;;;;;;;;;;;USART2_CK /;;;
;;;;;;;;;;;;;;;;;;;;ADC12_IN4;;;
12;PA5 / SPI1_SCK / ADC12_IN5;;;;;;;12;;12;;;Passive;;1;True;;True;;PA5 /;0mm;;
;;;;;;;;;;;;;;;;;;;;SPI1_SCK /;;;
;;;;;;;;;;;;;;;;;;;;ADC12_IN5;;;
13;PA6 / SPI1_MISO /;;;;;;;13;;13;;;Passive;;1;True;;True;;PA6 /;0mm;;
;ADC12_IN6 / TIM3_CH1 /;;;;;;;;;;;;;;;;;;;SPI1_MISO /;;;
;*TIM1_BKIN;;;;;;;;;;;;;;;;;;;ADC12_IN6 /;;;
;;;;;;;;;;;;;;;;;;;;TIM3_CH1 /;;;
;;;;;;;;;;;;;;;;;;;;*TIM1_BKIN;;;
14;PA7 / SPI1_MOSI /;;;;;;;14;;14;;;Passive;;1;True;;True;;PA7 /;0mm;;
;ADC12_IN7 / TIM3_CH2 /;;;;;;;;;;;;;;;;;;;SPI1_MOSI /;;;
;*TIM1_CH1N;;;;;;;;;;;;;;;;;;;ADC12_IN7 /;;;
;;;;;;;;;;;;;;;;;;;;TIM3_CH2 /;;;
;;;;;;;;;;;;;;;;;;;;*TIM1_CH1N;;;
15;PB0 / ADC12_IN8 / TIM3_CH3;;;;;;;15;;15;;;Passive;;1;True;;True;;PB0 /;0mm;;
;/ *TIM1_CH2N;;;;;;;;;;;;;;;;;;;ADC12_IN8 /;;;
;;;;;;;;;;;;;;;;;;;;TIM3_CH3 /;;;
;;;;;;;;;;;;;;;;;;;;*TIM1_CH2N;;;
16;PB1 / ADC12_IN9 / TIM3_CH4;;;;;;;16;;16;;;Passive;;1;True;;True;;PB1 /;0mm;;
;/ *TIM1_CH3N;;;;;;;;;;;;;;;;;;;ADC12_IN9 /;;;
;;;;;;;;;;;;;;;;;;;;TIM3_CH4 /;;;
;;;;;;;;;;;;;;;;;;;;*TIM1_CH3N;;;
17;PB2 / BOOT1 (*);;;;;;;17;;17;;;Passive;;1;True;;True;;PB2 / BOOT1;0mm;;
;;;;;;;;;;;;;;;;;;;;(*);;;
18;VSS_1;;;;;;;18;;18;;;Passive;;1;True;;True;;VSS_1;0mm;;
19;VDD_1;;;;;;;19;;19;;;Passive;;1;True;;True;;VDD_1;0mm;;
20;PA8 / USART1_CK /;;;;;;;20;;20;;;Passive;;1;True;;True;;PA8 /;0mm;;
;TIM1_CH1 / MCO (*);;;;;;;;;;;;;;;;;;;USART1_CK /;;;
;;;;;;;;;;;;;;;;;;;;TIM1_CH1 /;;;
;;;;;;;;;;;;;;;;;;;;MCO (*);;;
;;;;;;;;;;;;;;;;;;;;;;;
среда 24-окт-24.2018   12:08:38 PM;;;;;;;;;;;;;;;;;;;;;;;Page 1 of 2
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Designator;Name;;;;Desc;;;VFQFPN36;;VFQFPN36_H;;;Type;;Owner;Show;;Number;;Name;Pin/Pkg Length;;
21;PA9 / USART1_TX /;;;;;;;21;;21;;;Passive;;1;True;;True;;PA9 /;0mm;;
;TIM1_CH2 (*);;;;;;;;;;;;;;;;;;;USART1_TX /;;;
;;;;;;;;;;;;;;;;;;;;TIM1_CH2 (*);;;
22;PA10 / USART1_RX /;;;;;;;22;;22;;;Passive;;1;True;;True;;PA10 /;0mm;;
;TIM1_CH3 (*);;;;;;;;;;;;;;;;;;;USART1_RX /;;;
;;;;;;;;;;;;;;;;;;;;TIM1_CH3 (*);;;
23;PA11 / USART1_CTS /;;;;;;;23;;23;;;Passive;;1;True;;True;;PA11 /;0mm;;
;USBDM / CAN_RX /;;;;;;;;;;;;;;;;;;;USART1_CTS /;;;
;TIM1_CH4 (*);;;;;;;;;;;;;;;;;;;USBDM /;;;
;;;;;;;;;;;;;;;;;;;;CAN_RX /;;;
;;;;;;;;;;;;;;;;;;;;TIM1_CH4 (*);;;
24;PA12 / USART1_RTS /;;;;;;;24;;24;;;Passive;;1;True;;True;;PA12 /;0mm;;
;USBDP / CAN_TX /;;;;;;;;;;;;;;;;;;;USART1_RTS /;;;
;TIM1_ETR (*);;;;;;;;;;;;;;;;;;;USBDP /;;;
;;;;;;;;;;;;;;;;;;;;CAN_TX /;;;
;;;;;;;;;;;;;;;;;;;;TIM1_ETR (*);;;
25;JTMS-SWDIO / *PA13 (*);;;;;;;25;;25;;;Passive;;1;True;;True;;JTMS-SWDIO /;0mm;;
;;;;;;;;;;;;;;;;;;;;*PA13 (*);;;
26;VSS_2;;;;;;;26;;26;;;Passive;;1;True;;True;;VSS_2;0mm;;
27;VDD_2;;;;;;;27;;27;;;Passive;;1;True;;True;;VDD_2;0mm;;
28;JTCK-SWCLK / *PA14 (*);;;;;;;28;;28;;;Passive;;1;True;;True;;JTCK-SWCLK /;0mm;;
;;;;;;;;;;;;;;;;;;;;*PA14 (*);;;
29;JTDI / *TIM2_CH1_ETR /;;;;;;;29;;29;;;Passive;;1;True;;True;;JTDI /*TIM2_C;0mm;;
;*PA15 / *SPI1_NSS (*);;;;;;;;;;;;;;;;;;;H1_ETR /;;;
;;;;;;;;;;;;;;;;;;;;*PA15 /;;;
;;;;;;;;;;;;;;;;;;;;*SPI1_NSS (*);;;
30;JTDO / *PB3 / *TRACESWO /;;;;;;;30;;30;;;Passive;;1;True;;True;;JTDO / *PB3 /;0mm;;
;*TIM2_CH2 / *SPI1_SCK (*);;;;;;;;;;;;;;;;;;;*TRACESWO /;;;
;;;;;;;;;;;;;;;;;;;;*TIM2_CH2 /;;;
;;;;;;;;;;;;;;;;;;;;*SPI1_SCK (*);;;
31;NJTRST / *PB4 / *TIM3_CH1 /;;;;;;;31;;31;;;Passive;;1;True;;True;;NJTRST / *PB4;0mm;;
;*SPI1_MISO (*);;;;;;;;;;;;;;;;;;;/ *TIM3_CH1 /;;;
;;;;;;;;;;;;;;;;;;;;*SPI1_MISO (*);;;
32;PB5 / I2C1_SMBAI /;;;;;;;32;;32;;;Passive;;1;True;;True;;PB5 /;0mm;;
;*TIM3_CH2 / *SPI1_MOSI;;;;;;;;;;;;;;;;;;;I2C1_SMBAI /;;;
;;;;;;;;;;;;;;;;;;;;*TIM3_CH2 /;;;
;;;;;;;;;;;;;;;;;;;;*SPI1_MOSI;;;
33;PB6 / I2C1_SCL / TIM4_CH1 /;;;;;;;33;;33;;;Passive;;1;True;;True;;PB6 /;0mm;;
;*USART1_TX (*);;;;;;;;;;;;;;;;;;;I2C1_SCL /;;;
;;;;;;;;;;;;;;;;;;;;TIM4_CH1 /;;;
;;;;;;;;;;;;;;;;;;;;*USART1_TX;;;
;;;;;;;;;;;;;;;;;;;;(*);;;
34;PB7 / I2C1_SDA / TIM4_CH2 /;;;;;;;34;;34;;;Passive;;1;True;;True;;PB7 /;0mm;;
;*USART1_RX (*);;;;;;;;;;;;;;;;;;;I2C1_SDA /;;;
;;;;;;;;;;;;;;;;;;;;TIM4_CH2 /;;;
;;;;;;;;;;;;;;;;;;;;*USART1_RX;;;
;;;;;;;;;;;;;;;;;;;;(*);;;
35;BOOT0;;;;;;;35;;35;;;Passive;;1;True;;True;;BOOT0;0mm;;
36;VSS_3;;;;;;;36;;36;;;Passive;;1;True;;True;;VSS_3;0mm;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
среда 24-окт-24.2018   12:08:38 PM;;;;;;;;;;;;;;;;;;;;;;;Page 2 of 2
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
