;;;;;;;;;;;;;;;;;;;;;;;
Report Generated From Altium Designer;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Designator;Name;;Desc;;;VFQFPN36;;;VFQFPN36_H;;;Type;;Owner;Show;;Number;;Name;;Pin/Pkg Length;;
1;VDD_3;;;;;1;;;1;;;Passive;;1;True;;True;;VDD_3;;0mm;;
2;OSC_IN;;;;;2;;;2;;;Passive;;1;True;;True;;OSC_IN;;0mm;;
3;OSC_OUT;;;;;3;;;3;;;Passive;;1;True;;True;;OSC_OUT;;0mm;;
4;NRST;;;;;4;;;4;;;Passive;;1;True;;True;;NRST;;0mm;;
5;VSSA;;;;;5;;;5;;;Passive;;1;True;;True;;VSSA;;0mm;;
6;VDDA;;;;;6;;;6;;;Passive;;1;True;;True;;VDDA;;0mm;;
7;PA0 /;;;;;7;;;7;;;Passive;;1;True;;True;;PA0 / WKUP /;;0mm;;
;WKUP /U;;;;;;;;;;;;;;;;;;USART2_CTS /;;;;
;SART2_C;;;;;;;;;;;;;;;;;;ADC12_IN0 /;;;;
;TS /ADC1;;;;;;;;;;;;;;;;;;TIM2_CH1_ETR;;;;
;2_IN0 /TIM;;;;;;;;;;;;;;;;;;;;;;
;2_CH1_ET;;;;;;;;;;;;;;;;;;;;;;
;R;;;;;;;;;;;;;;;;;;;;;;
8;PA1 /USA;;;;;8;;;8;;;Passive;;1;True;;True;;PA1 /;;0mm;;
;RT2_RTS;;;;;;;;;;;;;;;;;;USART2_RTS /;;;;
;/ADC12_I;;;;;;;;;;;;;;;;;;ADC12_IN1 /;;;;
;N1 /;;;;;;;;;;;;;;;;;;TIM2_CH2;;;;
;TIM2_CH2;;;;;;;;;;;;;;;;;;;;;;
9;PA2 /USA;;;;;9;;;9;;;Passive;;1;True;;True;;PA2 /;;0mm;;
;RT2_TX /A;;;;;;;;;;;;;;;;;;USART2_TX /;;;;
;DC12_IN2;;;;;;;;;;;;;;;;;;ADC12_IN2 /;;;;
;/;;;;;;;;;;;;;;;;;;TIM2_CH3;;;;
;TIM2_CH3;;;;;;;;;;;;;;;;;;;;;;
10;PA3 /USA;;;;;10;;;10;;;Passive;;1;True;;True;;PA3 /;;0mm;;
;RT2_RX /;;;;;;;;;;;;;;;;;;USART2_RX /;;;;
;ADC12_IN;;;;;;;;;;;;;;;;;;ADC12_IN3 /;;;;
;3 /;;;;;;;;;;;;;;;;;;TIM2_CH4;;;;
;TIM2_CH4;;;;;;;;;;;;;;;;;;;;;;
11;PA4 /;;;;;11;;;11;;;Passive;;1;True;;True;;PA4 / SPI1_NSS;;0mm;;
;SPI1_NSS;;;;;;;;;;;;;;;;;;/ USART2_CK /;;;;
;/USART2_;;;;;;;;;;;;;;;;;;ADC12_IN4;;;;
;CK /ADC1;;;;;;;;;;;;;;;;;;;;;;
;2_IN4;;;;;;;;;;;;;;;;;;;;;;
12;PA5 /;;;;;12;;;12;;;Passive;;1;True;;True;;PA5 / SPI1_SCK;;0mm;;
;SPI1_SCK;;;;;;;;;;;;;;;;;;/ ADC12_IN5;;;;
;/ADC12_I;;;;;;;;;;;;;;;;;;;;;;
;N5;;;;;;;;;;;;;;;;;;;;;;
13;PA6 /SPI1;;;;;13;;;13;;;Passive;;1;True;;True;;PA6 /;;0mm;;
;_MISO /A;;;;;;;;;;;;;;;;;;SPI1_MISO /;;;;
;DC12_IN6;;;;;;;;;;;;;;;;;;ADC12_IN6 /;;;;
;/;;;;;;;;;;;;;;;;;;TIM3_CH1 /;;;;
;TIM3_CH1;;;;;;;;;;;;;;;;;;*TIM1_BKIN;;;;
;/*TIM1_BK;;;;;;;;;;;;;;;;;;;;;;
;IN;;;;;;;;;;;;;;;;;;;;;;
14;PA7 /SPI1;;;;;14;;;14;;;Passive;;1;True;;True;;PA7 /;;0mm;;
;_MOSI /A;;;;;;;;;;;;;;;;;;SPI1_MOSI /;;;;
;DC12_IN7;;;;;;;;;;;;;;;;;;ADC12_IN7 /;;;;
;/;;;;;;;;;;;;;;;;;;TIM3_CH2 /;;;;
;TIM3_CH2;;;;;;;;;;;;;;;;;;*TIM1_CH1N;;;;
;/*TIM1_CH;;;;;;;;;;;;;;;;;;;;;;
;1N;;;;;;;;;;;;;;;;;;;;;;
15;PB0 /ADC;;;;;15;;;15;;;Passive;;1;True;;True;;PB0 /;;0mm;;
;12_IN8 /;;;;;;;;;;;;;;;;;;ADC12_IN8 /;;;;
;TIM3_CH3;;;;;;;;;;;;;;;;;;TIM3_CH3 /;;;;
;/*TIM1_CH;;;;;;;;;;;;;;;;;;*TIM1_CH2N;;;;
;;;;;;;;;;;;;;;;;;;;;;;
воскресенье 21-окт-21.2018   2:03:42 PM;;;;;;;;;;;;;;;;;;;;;;;Page 1 of 3
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Designator;Name;;Desc;;;VFQFPN36;;;VFQFPN36_H;;;Type;;Owner;Show;;Number;;Name;;Pin/Pkg Length;;
;2N;;;;;;;;;;;;;;;;;;;;;;
16;PB1 /ADC;;;;;16;;;16;;;Passive;;1;True;;True;;PB1 /;;0mm;;
;12_IN9 /;;;;;;;;;;;;;;;;;;ADC12_IN9 /;;;;
;TIM3_CH4;;;;;;;;;;;;;;;;;;TIM3_CH4 /;;;;
;/*TIM1_CH;;;;;;;;;;;;;;;;;;*TIM1_CH3N;;;;
;3N;;;;;;;;;;;;;;;;;;;;;;
17;PB2 /;;;;;17;;;17;;;Passive;;1;True;;True;;PB2 / BOOT1 (*);;0mm;;
;BOOT1 (*);;;;;;;;;;;;;;;;;;;;;;
18;VSS_1;;;;;18;;;18;;;Passive;;1;True;;True;;VSS_1;;0mm;;
19;VDD_1;;;;;19;;;19;;;Passive;;1;True;;True;;VDD_1;;0mm;;
20;PA8 /USA;;;;;20;;;20;;;Passive;;1;True;;True;;PA8 /;;0mm;;
;RT1_CK /;;;;;;;;;;;;;;;;;;USART1_CK /;;;;
;TIM1_CH1;;;;;;;;;;;;;;;;;;TIM1_CH1 /;;;;
;/ MCO (*);;;;;;;;;;;;;;;;;;MCO (*);;;;
21;PA9 /USA;;;;;21;;;21;;;Passive;;1;True;;True;;PA9 /;;0mm;;
;RT1_TX /;;;;;;;;;;;;;;;;;;USART1_TX /;;;;
;TIM1_CH2;;;;;;;;;;;;;;;;;;TIM1_CH2 (*);;;;
;(*);;;;;;;;;;;;;;;;;;;;;;
22;PA10 /US;;;;;22;;;22;;;Passive;;1;True;;True;;PA10 /;;0mm;;
;ART1_RX;;;;;;;;;;;;;;;;;;USART1_RX /;;;;
;/;;;;;;;;;;;;;;;;;;TIM1_CH3 (*);;;;
;TIM1_CH3;;;;;;;;;;;;;;;;;;;;;;
;(*);;;;;;;;;;;;;;;;;;;;;;
23;PA11 /US;;;;;23;;;23;;;Passive;;1;True;;True;;PA11 /;;0mm;;
;ART1_CT;;;;;;;;;;;;;;;;;;USART1_CTS /;;;;
;S /;;;;;;;;;;;;;;;;;;USBDM /;;;;
;USBDM /;;;;;;;;;;;;;;;;;;CAN_RX /;;;;
;CAN_RX /;;;;;;;;;;;;;;;;;;TIM1_CH4 (*);;;;
;TIM1_CH4;;;;;;;;;;;;;;;;;;;;;;
;(*);;;;;;;;;;;;;;;;;;;;;;
24;PA12 /US;;;;;24;;;24;;;Passive;;1;True;;True;;PA12 /;;0mm;;
;ART1_RT;;;;;;;;;;;;;;;;;;USART1_RTS /;;;;
;S /;;;;;;;;;;;;;;;;;;USBDP /;;;;
;USBDP /;;;;;;;;;;;;;;;;;;CAN_TX /;;;;
;CAN_TX /;;;;;;;;;;;;;;;;;;TIM1_ETR (*);;;;
;TIM1_ETR;;;;;;;;;;;;;;;;;;;;;;
;(*);;;;;;;;;;;;;;;;;;;;;;
25;JTMS-SW;;;;;25;;;25;;;Passive;;1;True;;True;;JTMS-SWDIO /;;0mm;;
;DIO /;;;;;;;;;;;;;;;;;;*PA13 (*);;;;
;*PA13 (*);;;;;;;;;;;;;;;;;;;;;;
26;VSS_2;;;;;26;;;26;;;Passive;;1;True;;True;;VSS_2;;0mm;;
27;VDD_2;;;;;27;;;27;;;Passive;;1;True;;True;;VDD_2;;0mm;;
28;JTCK-SW;;;;;28;;;28;;;Passive;;1;True;;True;;JTCK-SWCLK /;;0mm;;
;CLK /;;;;;;;;;;;;;;;;;;*PA14 (*);;;;
;*PA14 (*);;;;;;;;;;;;;;;;;;;;;;
29;JTDI /*TIM;;;;;29;;;29;;;Passive;;1;True;;True;;JTDI /;;0mm;;
;2_CH1_ET;;;;;;;;;;;;;;;;;;*TIM2_CH1_ETR;;;;
;R / *PA15;;;;;;;;;;;;;;;;;;/ *PA15 /;;;;
;/*SPI1_NS;;;;;;;;;;;;;;;;;;*SPI1_NSS (*);;;;
;S (*);;;;;;;;;;;;;;;;;;;;;;
30;JTDO /;;;;;30;;;30;;;Passive;;1;True;;True;;JTDO / *PB3 /;;0mm;;
;*PB3 /*TR;;;;;;;;;;;;;;;;;;*TRACESWO /;;;;
;ACESWO;;;;;;;;;;;;;;;;;;*TIM2_CH2 /;;;;
;/*TIM2_CH;;;;;;;;;;;;;;;;;;*SPI1_SCK (*);;;;
;2 /*SPI1_S;;;;;;;;;;;;;;;;;;;;;;
;CK (*);;;;;;;;;;;;;;;;;;;;;;
31;NJTRST /;;;;;31;;;31;;;Passive;;1;True;;True;;NJTRST / *PB4 /;;0mm;;
;*PB4 /*TIM;;;;;;;;;;;;;;;;;;*TIM3_CH1 /;;;;
;;;;;;;;;;;;;;;;;;;;;;;
воскресенье 21-окт-21.2018   2:03:42 PM;;;;;;;;;;;;;;;;;;;;;;;Page 2 of 3
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Designator;Name;;Desc;;;VFQFPN36;;;VFQFPN36_H;;;Type;;Owner;Show;;Number;;Name;;Pin/Pkg Length;;
;3_CH1 /*S;;;;;;;;;;;;;;;;;;*SPI1_MISO (*);;;;
;PI1_MISO;;;;;;;;;;;;;;;;;;;;;;
;(*);;;;;;;;;;;;;;;;;;;;;;
32;PB5 /I2C1;;;;;32;;;32;;;Passive;;1;True;;True;;PB5 /;;0mm;;
;_SMBAI /*;;;;;;;;;;;;;;;;;;I2C1_SMBAI /;;;;
;TIM3_CH2;;;;;;;;;;;;;;;;;;*TIM3_CH2 /;;;;
;/*SPI1_M;;;;;;;;;;;;;;;;;;*SPI1_MOSI;;;;
;OSI;;;;;;;;;;;;;;;;;;;;;;
33;PB6 /;;;;;33;;;33;;;Passive;;1;True;;True;;PB6 / I2C1_SCL;;0mm;;
;I2C1_SCL;;;;;;;;;;;;;;;;;;/ TIM4_CH1 /;;;;
;/;;;;;;;;;;;;;;;;;;*USART1_TX (*);;;;
;TIM4_CH1;;;;;;;;;;;;;;;;;;;;;;
;/*USART1;;;;;;;;;;;;;;;;;;;;;;
;_TX (*);;;;;;;;;;;;;;;;;;;;;;
34;PB7 /;;;;;34;;;34;;;Passive;;1;True;;True;;PB7 / I2C1_SDA;;0mm;;
;I2C1_SDA;;;;;;;;;;;;;;;;;;/ TIM4_CH2 /;;;;
;/;;;;;;;;;;;;;;;;;;*USART1_RX (*);;;;
;TIM4_CH2;;;;;;;;;;;;;;;;;;;;;;
;/*USART1;;;;;;;;;;;;;;;;;;;;;;
;_RX (*);;;;;;;;;;;;;;;;;;;;;;
35;BOOT0;;;;;35;;;35;;;Passive;;1;True;;True;;BOOT0;;0mm;;
36;VSS_3;;;;;36;;;36;;;Passive;;1;True;;True;;VSS_3;;0mm;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
воскресенье 21-окт-21.2018   2:03:42 PM;;;;;;;;;;;;;;;;;;;;;;;Page 3 of 3
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
