;;;;;;;;;;;;;;;;;;;;;;;;
Report Generated From Altium Designer;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Designator;;Name;Desc;;;;LQPF100_A;;;Type;;Owner;;Show;;Number;;Name;;;Pin/Pkg Length;;;
1;;PE2/TRACE;;;;;1;;;Passive;;1;;True;;True;;PE2/TRACECK/FS;;;0mm;;;
;;CK/FSMC_;;;;;;;;;;;;;;;;MC_A23 (5V);;;;;;
;;A23 (5V);;;;;;;;;;;;;;;;;;;;;;
2;;PE3/TRACE;;;;;2;;;Passive;;1;;True;;True;;PE3/TRACED0/FS;;;0mm;;;
;;D0/FSMC_;;;;;;;;;;;;;;;;MC_A19 (5V);;;;;;
;;A19 (5V);;;;;;;;;;;;;;;;;;;;;;
3;;PE4/TRACE;;;;;3;;;Passive;;1;;True;;True;;PE4/TRACED1/FS;;;0mm;;;
;;D1/FSMC_;;;;;;;;;;;;;;;;MC_A20 (5V);;;;;;
;;A20 (5V);;;;;;;;;;;;;;;;;;;;;;
4;;PE5/TRACE;;;;;4;;;Passive;;1;;True;;True;;PE5/TRACED2/FS;;;0mm;;;
;;D2/FSMC_;;;;;;;;;;;;;;;;MC_A21;;;;;;
;;A21;;;;;;;;;;;;;;;;;;;;;;
5;;PE6/TRACE;;;;;5;;;Passive;;1;;True;;True;;PE6/TRACED3/FS;;;0mm;;;
;;D3/FSMC_;;;;;;;;;;;;;;;;MC_A22;;;;;;
;;A22;;;;;;;;;;;;;;;;;;;;;;
6;;VBAT;;;;;6;;;Passive;;1;;True;;True;;VBAT;;;0mm;;;
7;;TAMPERRT;;;;;7;;;Passive;;1;;True;;True;;TAMPERRTC/PC1;;;0mm;;;
;;C/PC13;;;;;;;;;;;;;;;;3;;;;;;
8;;PC14/OSC3;;;;;8;;;Passive;;1;;True;;True;;PC14/OSC32_IN;;;0mm;;;
;;2_IN;;;;;;;;;;;;;;;;;;;;;;
9;;PC15/OSC3;;;;;9;;;Passive;;1;;True;;True;;PC15/OSC32_OUT;;;0mm;;;
;;2_OUT;;;;;;;;;;;;;;;;;;;;;;
10;;VSS_5;;;;;10;;;Passive;;1;;True;;True;;VSS_5;;;0mm;;;
11;;VDD_5;;;;;11;;;Passive;;1;;True;;True;;VDD_5;;;0mm;;;
12;;OSC_IN;;;;;12;;;Passive;;1;;True;;True;;OSC_IN;;;0mm;;;
13;;OSC_OUT;;;;;13;;;Passive;;1;;True;;True;;OSC_OUT;;;0mm;;;
14;;NRST;;;;;14;;;Passive;;1;;True;;True;;NRST;;;0mm;;;
15;;PC0/ADC12;;;;;15;;;Passive;;1;;True;;True;;PC0/ADC123_IN10;;;0mm;;;
;;3_IN10;;;;;;;;;;;;;;;;;;;;;;
16;;PC1/ADC12;;;;;16;;;Passive;;1;;True;;True;;PC1/ADC123_IN11;;;0mm;;;
;;3_IN11;;;;;;;;;;;;;;;;;;;;;;
17;;PC2/ADC12;;;;;17;;;Passive;;1;;True;;True;;PC2/ADC123_IN12;;;0mm;;;
;;3_IN12;;;;;;;;;;;;;;;;;;;;;;
18;;PC3/ADC12;;;;;18;;;Passive;;1;;True;;True;;PC3/ADC123_IN13;;;0mm;;;
;;3_IN13;;;;;;;;;;;;;;;;;;;;;;
19;;VSSA;;;;;19;;;Passive;;1;;True;;True;;VSSA;;;0mm;;;
20;;VREF-;;;;;20;;;Passive;;1;;True;;True;;VREF-;;;0mm;;;
21;;VREF+;;;;;21;;;Passive;;1;;True;;True;;VREF+;;;0mm;;;
22;;VDDA;;;;;22;;;Passive;;1;;True;;True;;VDDA;;;0mm;;;
23;;PA0/WKUP/;;;;;23;;;Passive;;1;;True;;True;;PA0/WKUP/USAR;;;0mm;;;
;;USART2_C;;;;;;;;;;;;;;;;T2_CTS/ADC123_I;;;;;;
;;TS/ADC123;;;;;;;;;;;;;;;;N0/TIM2_CH1_ET;;;;;;
;;_IN0/TIM2_;;;;;;;;;;;;;;;;R/TIM5_CH1/TIM8;;;;;;
;;CH1_ETR/T;;;;;;;;;;;;;;;;_ETR;;;;;;
;;IM5_CH1/TI;;;;;;;;;;;;;;;;;;;;;;
;;M8_ETR;;;;;;;;;;;;;;;;;;;;;;
24;;PA1/USART;;;;;24;;;Passive;;1;;True;;True;;PA1/USART2_RTS;;;0mm;;;
;;2_RTS/ADC;;;;;;;;;;;;;;;;/ADC123_IN1/TIM5;;;;;;
;;123_IN1/TI;;;;;;;;;;;;;;;;_CH2/TIM2_CH2;;;;;;
;;M5_CH2/TI;;;;;;;;;;;;;;;;;;;;;;
;;M2_CH2;;;;;;;;;;;;;;;;;;;;;;
25;;PA2/USART;;;;;25;;;Passive;;1;;True;;True;;PA2/USART2_TX/T;;;0mm;;;
;;2_TX/TIM5_;;;;;;;;;;;;;;;;IM5_CH3/ADC123_;;;;;;
;;CH3/ADC12;;;;;;;;;;;;;;;;IN2/TIM2_CH3;;;;;;
;;3_IN2/TIM2;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
понедельник 22-окт-22.2018   10:15:39 AM;;;;;;;;;;;;;;;;;;;;;;;Page 1 of 6;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Designator;;Name;Desc;;;;LQPF100_A;;;Type;;Owner;;Show;;Number;;Name;;;Pin/Pkg Length;;;
;;_CH3;;;;;;;;;;;;;;;;;;;;;;
26;;PA3/USART;;;;;26;;;Passive;;1;;True;;True;;PA3/USART2_RX/;;;0mm;;;
;;2_RX/TIM5_;;;;;;;;;;;;;;;;TIM5_CH4/ADC123;;;;;;
;;CH4/ADC12;;;;;;;;;;;;;;;;_IN3/TIM2_CH4;;;;;;
;;3_IN3/TIM2;;;;;;;;;;;;;;;;;;;;;;
;;_CH4;;;;;;;;;;;;;;;;;;;;;;
27;;VSS_4;;;;;27;;;Passive;;1;;True;;True;;VSS_4;;;0mm;;;
28;;VDD_4;;;;;28;;;Passive;;1;;True;;True;;VDD_4;;;0mm;;;
29;;PA4/SPI1_;;;;;29;;;Passive;;1;;True;;True;;PA4/SPI1_NSS/US;;;0mm;;;
;;NSS/USAR;;;;;;;;;;;;;;;;ART2_CK/DAC_O;;;;;;
;;T2_CK/DAC;;;;;;;;;;;;;;;;UT1/ADC12_IN4;;;;;;
;;_OUT1/AD;;;;;;;;;;;;;;;;;;;;;;
;;C12_IN4;;;;;;;;;;;;;;;;;;;;;;
30;;PA5/SPI1_;;;;;30;;;Passive;;1;;True;;True;;PA5/SPI1_SCK/DA;;;0mm;;;
;;SCK/DAC_;;;;;;;;;;;;;;;;C_OUT2/ADC12_I;;;;;;
;;OUT2/ADC;;;;;;;;;;;;;;;;N5;;;;;;
;;12_IN5;;;;;;;;;;;;;;;;;;;;;;
31;;PA6/SPI1_;;;;;31;;;Passive;;1;;True;;True;;PA6/SPI1_MISO/TI;;;0mm;;;
;;MISO/TIM8;;;;;;;;;;;;;;;;M8_BKIN/ADC12_I;;;;;;
;;_BKIN/ADC;;;;;;;;;;;;;;;;N6/TIM3_CH1//TIM;;;;;;
;;12_IN6/TIM;;;;;;;;;;;;;;;;1_BKIN;;;;;;
;;3_CH1//TIM;;;;;;;;;;;;;;;;;;;;;;
;;1_BKIN;;;;;;;;;;;;;;;;;;;;;;
32;;PA7/SPI1_;;;;;32;;;Passive;;1;;True;;True;;PA7/SPI1_MOSI/TI;;;0mm;;;
;;MOSI/TIM8;;;;;;;;;;;;;;;;M8_CH1N/ADC12_;;;;;;
;;_CH1N/AD;;;;;;;;;;;;;;;;IN7/TIM3_CH2//TI;;;;;;
;;C12_IN7/TI;;;;;;;;;;;;;;;;M1_CH1N;;;;;;
;;M3_CH2//TI;;;;;;;;;;;;;;;;;;;;;;
;;M1_CH1N;;;;;;;;;;;;;;;;;;;;;;
33;;PC4/ADC12;;;;;33;;;Passive;;1;;True;;True;;PC4/ADC12_IN14;;;0mm;;;
;;_IN14;;;;;;;;;;;;;;;;;;;;;;
34;;PC5/ADC12;;;;;34;;;Passive;;1;;True;;True;;PC5/ADC12_IN15;;;0mm;;;
;;_IN15;;;;;;;;;;;;;;;;;;;;;;
35;;PB0/ADC12;;;;;35;;;Passive;;1;;True;;True;;PB0/ADC12_IN8/TI;;;0mm;;;
;;_IN8/TIM3_;;;;;;;;;;;;;;;;M3_CH3/TIM8_CH;;;;;;
;;CH3/TIM8_;;;;;;;;;;;;;;;;2N//TIM1_CH2N;;;;;;
;;CH2N//TIM1;;;;;;;;;;;;;;;;;;;;;;
;;_CH2N;;;;;;;;;;;;;;;;;;;;;;
36;;PB1/ADC12;;;;;36;;;Passive;;1;;True;;True;;PB1/ADC12_IN9/TI;;;0mm;;;
;;_IN9/TIM3_;;;;;;;;;;;;;;;;M3_CH4/TIM8_CH;;;;;;
;;CH4/TIM8_;;;;;;;;;;;;;;;;3N//TIM1_CH3N;;;;;;
;;CH3N//TIM1;;;;;;;;;;;;;;;;;;;;;;
