;;;;;;;;;;;;;;;;;;;;;;;
Report Generated From Altium Designer;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Designator;;Name;;;;Desc;;;LQFP100_A;;;Type;;Owner;Show;;Number;;Name;;Pin/Pkg Length;;
1;;PE2/[TRACECK/TIM3_CH1/TSC_G7;;;;;;;1;;;Passive;;1;True;;True;;PE2/[TRACECK/;;0mm;;
;;_IO1/SPI4_SCK/TIM20_CH1][*];;;;;;;;;;;;;;;;;TIM3_CH1/TSC_;;;;
;;;;;;;;;;;;;;;;;;;G7_IO1/SPI4_S;;;;
;;;;;;;;;;;;;;;;;;;CK/TIM20_CH1][;;;;
;;;;;;;;;;;;;;;;;;;*];;;;
2;;PE3/[TRACED0/TIM3_CH2/TSC_G7;;;;;;;2;;;Passive;;1;True;;True;;PE3/[TRACED0/;;0mm;;
;;_IO2/SPI4_NSS/TIM20_CH2][*];;;;;;;;;;;;;;;;;TIM3_CH2/TSC_;;;;
;;;;;;;;;;;;;;;;;;;G7_IO2/SPI4_N;;;;
;;;;;;;;;;;;;;;;;;;SS/TIM20_CH2][;;;;
;;;;;;;;;;;;;;;;;;;*];;;;
3;;PE4/[TRACED1/TIM3_CH3/TSC_G7;;;;;;;3;;;Passive;;1;True;;True;;PE4/[TRACED1/;;0mm;;
;;_IO3/SPI4_NSS/TIM20_CH1N][*];;;;;;;;;;;;;;;;;TIM3_CH3/TSC_;;;;
;;;;;;;;;;;;;;;;;;;G7_IO3/SPI4_N;;;;
;;;;;;;;;;;;;;;;;;;SS/TIM20_CH1N;;;;
;;;;;;;;;;;;;;;;;;;][*];;;;
4;;PE5/[TRACED2/TIM3_CH4/TSC_G7;;;;;;;4;;;Passive;;1;True;;True;;PE5/[TRACED2/;;0mm;;
;;_IO4/SPI4_MISO,TIM20_CH2N][*];;;;;;;;;;;;;;;;;TIM3_CH4/TSC_;;;;
;;;;;;;;;;;;;;;;;;;G7_IO4/SPI4_MI;;;;
;;;;;;;;;;;;;;;;;;;SO,TIM20_CH2;;;;
;;;;;;;;;;;;;;;;;;;N][*];;;;
5;;PE6/(WKUP3/RTC_TAMP3)[TRACE;;;;;;;5;;;Passive;;1;True;;True;;PE6/(WKUP3/R;;0mm;;
;;D3/SPI4_MOSI/TIM20_CH3N][*];;;;;;;;;;;;;;;;;TC_TAMP3)[TR;;;;
;;;;;;;;;;;;;;;;;;;ACED3/SPI4_M;;;;
;;;;;;;;;;;;;;;;;;;OSI/TIM20_CH3;;;;
;;;;;;;;;;;;;;;;;;;N][*];;;;
6;;VBAT;;;;;;;6;;;Passive;;1;True;;True;;VBAT;;0mm;;
7;;PC13/(WKUP2/RTC_TAMP1/RTC_T;;;;;;;7;;;Passive;;1;True;;True;;PC13/(WKUP2/R;;0mm;;
;;S/RTC_OUT[TIM1_CH1N];;;;;;;;;;;;;;;;;TC_TAMP1/RTC;;;;
;;;;;;;;;;;;;;;;;;;_TS/RTC_OUT[;;;;
;;;;;;;;;;;;;;;;;;;TIM1_CH1N];;;;
8;;PC14/(OSC32_IN);;;;;;;8;;;Passive;;1;True;;True;;PC14/(OSC32_I;;0mm;;
;;;;;;;;;;;;;;;;;;;N);;;;
9;;PC15/(OSC32_OUT);;;;;;;9;;;Passive;;1;True;;True;;PC15/(OSC32_O;;0mm;;
;;;;;;;;;;;;;;;;;;;UT);;;;
