;;;;;;;;;;;;;;;;;;;;;;;
Report Generated From Altium Designer;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Designator;;Name;;;;Desc;;;LQFP48_H;;;Type;;Owner;Show;;Number;;Name;;Pin/Pkg Length;;
1;;VBAT;;;;;;;1;;;Passive;;1;True;;True;;VBAT;;0mm;;
2;;PC13/TIM1_CH1N//RTC_TAMP1/RTC;;;;;;;2;;;Passive;;1;True;;True;;PC13/TIM1_CH1;;0mm;;
;;_TS/RTC_OUT/WKUP2;;;;;;;;;;;;;;;;;N//RTC_TAMP1/;;;;
;;;;;;;;;;;;;;;;;;;RTC_TS/RTC_O;;;;
;;;;;;;;;;;;;;;;;;;UT/WKUP2;;;;
3;;PC14/OSC32_IN;;;;;;;3;;;Passive;;1;True;;True;;PC14/OSC32_IN;;0mm;;
4;;PC15/OSC32_OUT;;;;;;;4;;;Passive;;1;True;;True;;PC15/OSC32_O;;0mm;;
;;;;;;;;;;;;;;;;;;;UT;;;;
5;;PF0/OSC_IN/TIM1_CH3N;;;;;;;5;;;Passive;;1;True;;True;;PF0/OSC_IN/TI;;0mm;;
;;;;;;;;;;;;;;;;;;;M1_CH3N;;;;
6;;PF1/OSC_OUT;;;;;;;6;;;Passive;;1;True;;True;;PF1/OSC_OUT;;0mm;;
7;;nRST;;;;;;;7;;;Passive;;1;True;;True;;nRST;;0mm;;
8;;VSSA/VREF-;;;;;;;8;;;Passive;;1;True;;True;;VSSA/VREF-;;0mm;;
9;;VDDA/VREF+;;;;;;;9;;;Passive;;1;True;;True;;VDDA/VREF+;;0mm;;
10;;PA0/TIM2_CH1/ADC1_IN1;;;;;;;10;;;Passive;;1;True;;True;;PA0/TIM2_CH1/;;0mm;;
;;;;;;;;;;;;;;;;;;;ADC1_IN1;;;;
11;;PA1/TIM2_CH2/USART2_RTS_DE/TI;;;;;;;11;;;Passive;;1;True;;True;;PA1/TIM2_CH2/;;0mm;;
;;M15_CH1N/ADC1_IN2;;;;;;;;;;;;;;;;;USART2_RTS_;;;;
;;;;;;;;;;;;;;;;;;;DE/TIM15_CH1;;;;
;;;;;;;;;;;;;;;;;;;N/ADC1_IN2;;;;
12;;PA2/TIM2_CH3/USART2_TX/COMP2;;;;;;;12;;;Passive;;1;True;;True;;PA2/TIM2_CH3/;;0mm;;
;;_OUT/TIM15_CH1/ADC1_IN3;;;;;;;;;;;;;;;;;USART2_TX/CO;;;;
;;;;;;;;;;;;;;;;;;;MP2_OUT/TIM1;;;;
;;;;;;;;;;;;;;;;;;;5_CH1/ADC1_IN;;;;
;;;;;;;;;;;;;;;;;;;3;;;;
13;;PA3/TIM2_CH4/USART2_RX/TIM15_;;;;;;;13;;;Passive;;1;True;;True;;PA3/TIM2_CH4/;;0mm;;
;;CH2/ADC1_IN4;;;;;;;;;;;;;;;;;USART2_RX/TI;;;;
;;;;;;;;;;;;;;;;;;;M15_CH2/ADC1;;;;
;;;;;;;;;;;;;;;;;;;_IN4;;;;
14;;PA4/TIM3_CH2/SPI1_NSS/ADC2_IN1;;;;;;;14;;;Passive;;1;True;;True;;PA4/TIM3_CH2/;;0mm;;
;;/DAC1_OUT1;;;;;;;;;;;;;;;;;SPI1_NSS/ADC;;;;
;;;;;;;;;;;;;;;;;;;2_IN1/DAC1_O;;;;
;;;;;;;;;;;;;;;;;;;UT1;;;;
15;;PA5/TIM2_CH1/SPI1_SCK/ADC2_IN2;;;;;;;15;;;Passive;;1;True;;True;;PA5/TIM2_CH1/;;0mm;;
;;/DAC1_OUT2;;;;;;;;;;;;;;;;;SPI1_SCK/ADC;;;;
;;;;;;;;;;;;;;;;;;;2_IN2/DAC1_O;;;;
;;;;;;;;;;;;;;;;;;;UT2;;;;
16;;PA6/TIM16_CH1/TIM3_CH1/SPI1_MI;;;;;;;16;;;Passive;;1;True;;True;;PA6/TIM16_CH1;;0mm;;
;;SO/ADC2_IN3/DAC2_OUT1;;;;;;;;;;;;;;;;;/TIM3_CH1/SPI1;;;;
;;;;;;;;;;;;;;;;;;;_MISO/ADC2_IN;;;;
;;;;;;;;;;;;;;;;;;;3/DAC2_OUT1;;;;
17;;PA7/TIM17_CH1/TIM3_CH2/SPI1_MO;;;;;;;17;;;Passive;;1;True;;True;;PA7/TIM17_CH1;;0mm;;
;;SI/TIM1_CH1N/ADC2_IN4;;;;;;;;;;;;;;;;;/TIM3_CH2/SPI1;;;;
;;;;;;;;;;;;;;;;;;;_MOSI/TIM1_C;;;;
;;;;;;;;;;;;;;;;;;;H1N/ADC2_IN4;;;;
18;;PB0/TIM3_CH3/TIM1_CH2N/ADC1_IN;;;;;;;18;;;Passive;;1;True;;True;;PB0/TIM3_CH3/;;0mm;;
;;11;;;;;;;;;;;;;;;;;TIM1_CH2N/AD;;;;
;;;;;;;;;;;;;;;;;;;C1_IN11;;;;
19;;PB1/TIM3_CH4/TIM1_CH3N/ADC1_IN;;;;;;;19;;;Passive;;1;True;;True;;PB1/TIM3_CH4/;;0mm;;
;;12;;;;;;;;;;;;;;;;;TIM1_CH3N/AD;;;;
;;;;;;;;;;;;;;;;;;;C1_IN12;;;;
20;;PB2/ADC2_IN12;;;;;;;20;;;Passive;;1;True;;True;;PB2/ADC2_IN12;;0mm;;
21;;PB10/TIM2_CH3/USART3_TX/;;;;;;;21;;;Passive;;1;True;;True;;PB10/TIM2_CH3;;0mm;;
;;;;;;;;;;;;;;;;;;;/USART3_TX/;;;;
22;;PB11/TIM2_CH4/USART3_RX;;;;;;;22;;;Passive;;1;True;;True;;PB11/TIM2_CH4;;0mm;;
;;;;;;;;;;;;;;;;;;;;;;;
среда 24-окт-24.2018   12:04:07 PM;;;;;;;;;;;;;;;;;;;;;;;Page 1 of 3
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Designator;;Name;;;;Desc;;;LQFP48_H;;;Type;;Owner;Show;;Number;;Name;;Pin/Pkg Length;;
;;;;;;;;;;;;;;;;;;;/USART3_RX;;;;
23;;VSS;;;;;;;23;;;Passive;;1;True;;True;;VSS;;0mm;;
24;;VDD;;;;;;;24;;;Passive;;1;True;;True;;VDD;;0mm;;
25;;PB12/ADC2_IN13;;;;;;;25;;;Passive;;1;True;;True;;PB12/ADC2_IN1;;0mm;;
;;;;;;;;;;;;;;;;;;;3;;;;
26;;PB13/TIM1_CH1N/USART3_CTS/AD;;;;;;;26;;;Passive;;1;True;;True;;PB13/TIM1_CH1;;0mm;;
;;C1_IN13;;;;;;;;;;;;;;;;;N/USART3_CTS;;;;
;;;;;;;;;;;;;;;;;;;/ADC1_IN13;;;;
