;;;;;;;;;;;;;;;;;;;;;;;;
Report Generated From Altium Designer;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Designator;;Name;Desc;;;;LQFP48_H;;;Type;;Owner;;Show;;Number;;Name;;;Pin/Pkg Length;;;
1;;VBAT;;;;;1;;;Passive;;1;;True;;True;;VBAT;;;0mm;;;
2;;PC13/TIM1;;;;;2;;;Passive;;1;;True;;True;;PC13/TIM1_CH1N/;;;0mm;;;
;;_CH1N//RT;;;;;;;;;;;;;;;;/RTC_TAMP1/RTC;;;;;;
;;C_TAMP1/;;;;;;;;;;;;;;;;_TS/RTC_OUT/WK;;;;;;
;;RTC_TS/RT;;;;;;;;;;;;;;;;UP2;;;;;;
;;C_OUT/WK;;;;;;;;;;;;;;;;;;;;;;
;;UP2;;;;;;;;;;;;;;;;;;;;;;
3;;PC14/OSC3;;;;;3;;;Passive;;1;;True;;True;;PC14/OSC32_IN;;;0mm;;;
;;2_IN;;;;;;;;;;;;;;;;;;;;;;
4;;PC15/OSC3;;;;;4;;;Passive;;1;;True;;True;;PC15/OSC32_OUT;;;0mm;;;
;;2_OUT;;;;;;;;;;;;;;;;;;;;;;
5;;PF0/OSC_I;;;;;5;;;Passive;;1;;True;;True;;PF0/OSC_IN/TIM1;;;0mm;;;
;;N/TIM1_CH;;;;;;;;;;;;;;;;_CH3N;;;;;;
;;3N;;;;;;;;;;;;;;;;;;;;;;
6;;PF1/OSC_;;;;;6;;;Passive;;1;;True;;True;;PF1/OSC_OUT;;;0mm;;;
;;OUT;;;;;;;;;;;;;;;;;;;;;;
7;;nRST;;;;;7;;;Passive;;1;;True;;True;;nRST;;;0mm;;;
8;;VSSA/VRE;;;;;8;;;Passive;;1;;True;;True;;VSSA/VREF-;;;0mm;;;
;;F-;;;;;;;;;;;;;;;;;;;;;;
9;;VDDA/VRE;;;;;9;;;Passive;;1;;True;;True;;VDDA/VREF+;;;0mm;;;
;;F+;;;;;;;;;;;;;;;;;;;;;;
10;;PA0/TIM2_;;;;;10;;;Passive;;1;;True;;True;;PA0/TIM2_CH1/AD;;;0mm;;;
;;CH1/ADC1_;;;;;;;;;;;;;;;;C1_IN1;;;;;;
;;IN1;;;;;;;;;;;;;;;;;;;;;;
11;;PA1/TIM2_;;;;;11;;;Passive;;1;;True;;True;;PA1/TIM2_CH2/US;;;0mm;;;
;;CH2/USAR;;;;;;;;;;;;;;;;ART2_RTS_DE/TI;;;;;;
;;T2_RTS_D;;;;;;;;;;;;;;;;M15_CH1N/ADC1_;;;;;;
;;E/TIM15_C;;;;;;;;;;;;;;;;IN2;;;;;;
;;H1N/ADC1_;;;;;;;;;;;;;;;;;;;;;;
;;IN2;;;;;;;;;;;;;;;;;;;;;;
12;;PA2/TIM2_;;;;;12;;;Passive;;1;;True;;True;;PA2/TIM2_CH3/US;;;0mm;;;
;;CH3/USAR;;;;;;;;;;;;;;;;ART2_TX/COMP2_;;;;;;
;;T2_TX/COM;;;;;;;;;;;;;;;;OUT/TIM15_CH1/A;;;;;;
;;P2_OUT/TI;;;;;;;;;;;;;;;;DC1_IN3;;;;;;
;;M15_CH1/A;;;;;;;;;;;;;;;;;;;;;;
;;DC1_IN3;;;;;;;;;;;;;;;;;;;;;;
13;;PA3/TIM2_;;;;;13;;;Passive;;1;;True;;True;;PA3/TIM2_CH4/US;;;0mm;;;
;;CH4/USAR;;;;;;;;;;;;;;;;ART2_RX/TIM15_C;;;;;;
;;T2_RX/TIM;;;;;;;;;;;;;;;;H2/ADC1_IN4;;;;;;
;;15_CH2/AD;;;;;;;;;;;;;;;;;;;;;;
;;C1_IN4;;;;;;;;;;;;;;;;;;;;;;
14;;PA4/TIM3_;;;;;14;;;Passive;;1;;True;;True;;PA4/TIM3_CH2/SP;;;0mm;;;
;;CH2/SPI1_;;;;;;;;;;;;;;;;I1_NSS/ADC2_IN1/;;;;;;
;;NSS/ADC2_;;;;;;;;;;;;;;;;DAC1_OUT1;;;;;;
;;IN1/DAC1_;;;;;;;;;;;;;;;;;;;;;;
;;OUT1;;;;;;;;;;;;;;;;;;;;;;
15;;PA5/TIM2_;;;;;15;;;Passive;;1;;True;;True;;PA5/TIM2_CH1/SP;;;0mm;;;
;;CH1/SPI1_;;;;;;;;;;;;;;;;I1_SCK/ADC2_IN2/;;;;;;
;;SCK/ADC2_;;;;;;;;;;;;;;;;DAC1_OUT2;;;;;;
;;IN2/DAC1_;;;;;;;;;;;;;;;;;;;;;;
;;OUT2;;;;;;;;;;;;;;;;;;;;;;
16;;PA6/TIM16_;;;;;16;;;Passive;;1;;True;;True;;PA6/TIM16_CH1/TI;;;0mm;;;
;;CH1/TIM3_;;;;;;;;;;;;;;;;M3_CH1/SPI1_MIS;;;;;;
;;CH1/SPI1_;;;;;;;;;;;;;;;;O/ADC2_IN3/DAC2;;;;;;
;;MISO/ADC2;;;;;;;;;;;;;;;;_OUT1;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
пятница 19-окт-19.2018   8:33:45 PM;;;;;;;;;;;;;;;;;;;;;;;Page 1 of 3;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Designator;;Name;Desc;;;;LQFP48_H;;;Type;;Owner;;Show;;Number;;Name;;;Pin/Pkg Length;;;
;;_IN3/DAC2;;;;;;;;;;;;;;;;;;;;;;
;;_OUT1;;;;;;;;;;;;;;;;;;;;;;
17;;PA7/TIM17_;;;;;17;;;Passive;;1;;True;;True;;PA7/TIM17_CH1/TI;;;0mm;;;
;;CH1/TIM3_;;;;;;;;;;;;;;;;M3_CH2/SPI1_MO;;;;;;
;;CH2/SPI1_;;;;;;;;;;;;;;;;SI/TIM1_CH1N/AD;;;;;;
;;MOSI/TIM1;;;;;;;;;;;;;;;;C2_IN4;;;;;;
;;_CH1N/AD;;;;;;;;;;;;;;;;;;;;;;
;;C2_IN4;;;;;;;;;;;;;;;;;;;;;;
18;;PB0/TIM3_;;;;;18;;;Passive;;1;;True;;True;;PB0/TIM3_CH3/TI;;;0mm;;;
;;CH3/TIM1_;;;;;;;;;;;;;;;;M1_CH2N/ADC1_I;;;;;;
;;CH2N/ADC;;;;;;;;;;;;;;;;N11;;;;;;
;;1_IN11;;;;;;;;;;;;;;;;;;;;;;
19;;PB1/TIM3_;;;;;19;;;Passive;;1;;True;;True;;PB1/TIM3_CH4/TI;;;0mm;;;
;;CH4/TIM1_;;;;;;;;;;;;;;;;M1_CH3N/ADC1_I;;;;;;
;;CH3N/ADC;;;;;;;;;;;;;;;;N12;;;;;;
;;1_IN12;;;;;;;;;;;;;;;;;;;;;;
20;;PB2/ADC2_;;;;;20;;;Passive;;1;;True;;True;;PB2/ADC2_IN12;;;0mm;;;
;;IN12;;;;;;;;;;;;;;;;;;;;;;
21;;PB10/TIM2_;;;;;21;;;Passive;;1;;True;;True;;PB10/TIM2_CH3/U;;;0mm;;;
;;CH3/USAR;;;;;;;;;;;;;;;;SART3_TX/;;;;;;
;;T3_TX/;;;;;;;;;;;;;;;;;;;;;;
22;;PB11/TIM2_;;;;;22;;;Passive;;1;;True;;True;;PB11/TIM2_CH4/U;;;0mm;;;
;;CH4/USAR;;;;;;;;;;;;;;;;SART3_RX;;;;;;
;;T3_RX;;;;;;;;;;;;;;;;;;;;;;
23;;VSS;;;;;23;;;Passive;;1;;True;;True;;VSS;;;0mm;;;
24;;VDD;;;;;24;;;Passive;;1;;True;;True;;VDD;;;0mm;;;
25;;PB12/ADC2;;;;;25;;;Passive;;1;;True;;True;;PB12/ADC2_IN13;;;0mm;;;
;;_IN13;;;;;;;;;;;;;;;;;;;;;;
26;;PB13/TIM1_;;;;;26;;;Passive;;1;;True;;True;;PB13/TIM1_CH1N/;;;0mm;;;
;;CH1N/USA;;;;;;;;;;;;;;;;USART3_CTS/AD;;;;;;
;;RT3_CTS/A;;;;;;;;;;;;;;;;C1_IN13;;;;;;
;;DC1_IN13;;;;;;;;;;;;;;;;;;;;;;
27;;PB14/TIM15;;;;;27;;;Passive;;1;;True;;True;;PB14/TIM15_CH1/;;;0mm;;;
;;_CH1/TIM1;;;;;;;;;;;;;;;;TIM1_CH2N/ADC2;;;;;;
;;_CH2N/AD;;;;;;;;;;;;;;;;_IN14;;;;;;
;;C2_IN14;;;;;;;;;;;;;;;;;;;;;;
28;;PB15/TIM15;;;;;28;;;Passive;;1;;True;;True;;PB15/TIM15_CH2/;;;0mm;;;
;;_CH2/TIM1;;;;;;;;;;;;;;;;TIM15_CH1N/TIM1;;;;;;
;;5_CH1N/TI;;;;;;;;;;;;;;;;_CH3N/ADC2_IN15;;;;;;
;;M1_CH3N/;;;;;;;;;;;;;;;;;;;;;;
;;ADC2_IN15;;;;;;;;;;;;;;;;;;;;;;
29;;PA8/MCO/T;;;;;29;;;Passive;;1;;True;;True;;PA8/MCO/TIM1_C;;;0mm;;;
;;IM1_CH1;;;;;;;;;;;;;;;;H1;;;;;;
30;;PA9/TIM1_;;;;;30;;;Passive;;1;;True;;True;;PA9/TIM1_CH2/US;;;0mm;;;
;;CH2/USAR;;;;;;;;;;;;;;;;ART1_TX/TIM2_C;;;;;;
;;T1_TX/TIM2;;;;;;;;;;;;;;;;H3;;;;;;
;;_CH3;;;;;;;;;;;;;;;;;;;;;;
31;;PA10/TIM1_;;;;;31;;;Passive;;1;;True;;True;;PA10/TIM1_CH3/U;;;0mm;;;
;;CH3/USAR;;;;;;;;;;;;;;;;SART1_RX/COMP;;;;;;
;;T1_RX/CO;;;;;;;;;;;;;;;;6_OUT/TIM2_CH4;;;;;;
;;MP6_OUT/;;;;;;;;;;;;;;;;;;;;;;
;;TIM2_CH4;;;;;;;;;;;;;;;;;;;;;;
32;;PA11/TIM1_;;;;;32;;;Passive;;1;;True;;True;;PA11/TIM1_CH1N/;;;0mm;;;
;;CH1N/CAN;;;;;;;;;;;;;;;;CAN_RX/TIM1_CH;;;;;;
;;_RX/TIM1_;;;;;;;;;;;;;;;;4;;;;;;
;;CH4;;;;;;;;;;;;;;;;;;;;;;
33;;PA12/TIM16;;;;;33;;;Passive;;1;;True;;True;;PA12/TIM16_CH1/;;;0mm;;;
;;_CH1/TIM1;;;;;;;;;;;;;;;;TIM1_CH2N/COMP;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
