;;;;;;;;;;;;;;;;;;;;;;;;
Report Generated From Altium Designer;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Designator;;Name;Desc;;;;LQFP100_A;;;Type;;Owner;;Show;;Number;;Name;;;Pin/Pkg Length;;;
1;;PE2 //;;;;;1;;;Passive;;1;;True;;True;;PE2 // TRACECLK;;;0mm;;;
;;TRACECLK;;;;;;;;;;;;;;;;/ FSMC_A23 /;;;;;;
;;/;;;;;;;;;;;;;;;;ETH_MII_TXD3 //;;;;;;
;;FSMC_A23;;;;;;;;;;;;;;;;FT;;;;;;
;;/ETH_MII_T;;;;;;;;;;;;;;;;;;;;;;
;;XD3 // FT;;;;;;;;;;;;;;;;;;;;;;
2;;PE3 //;;;;;2;;;Passive;;1;;True;;True;;PE3 // TRACED0 /;;;0mm;;;
;;TRACED0 /;;;;;;;;;;;;;;;;FSMC_A19 // FT;;;;;;
;;FSMC_A19;;;;;;;;;;;;;;;;;;;;;;
;;// FT;;;;;;;;;;;;;;;;;;;;;;
3;;PE4 //;;;;;3;;;Passive;;1;;True;;True;;PE4 // TRACED1 /;;;0mm;;;
;;TRACED1 /;;;;;;;;;;;;;;;;FSMC_A20 /;;;;;;
;;FSMC_A20;;;;;;;;;;;;;;;;DCMI_D4 // FT;;;;;;
;;/ DCMI_D4;;;;;;;;;;;;;;;;;;;;;;
;;// FT;;;;;;;;;;;;;;;;;;;;;;
4;;PE5 //;;;;;4;;;Passive;;1;;True;;True;;PE5 // TRACED2 /;;;0mm;;;
;;TRACED2 /;;;;;;;;;;;;;;;;FSMC_A21 /;;;;;;
;;FSMC_A21;;;;;;;;;;;;;;;;TIM9_CH1 /;;;;;;
;;/ TIM9_CH1;;;;;;;;;;;;;;;;DCMI_D6 // FT;;;;;;
;;/ DCMI_D6;;;;;;;;;;;;;;;;;;;;;;
;;// FT;;;;;;;;;;;;;;;;;;;;;;
5;;PE6 //;;;;;5;;;Passive;;1;;True;;True;;PE6 // TRACED3 /;;;0mm;;;
;;TRACED3 /;;;;;;;;;;;;;;;;FSMC_A22 /;;;;;;
;;FSMC_A22;;;;;;;;;;;;;;;;TIM9_CH2 /;;;;;;
;;/ TIM9_CH2;;;;;;;;;;;;;;;;DCMI_D7 // FT;;;;;;
;;/ DCMI_D7;;;;;;;;;;;;;;;;;;;;;;
;;// FT;;;;;;;;;;;;;;;;;;;;;;
6;;VBAT;;;;;6;;;Passive;;1;;True;;True;;VBAT;;;0mm;;;
7;;PC13 //;;;;;7;;;Passive;;1;;True;;True;;PC13 // RTC_AF1;;;0mm;;;
;;RTC_AF1 //;;;;;;;;;;;;;;;;// FT;;;;;;
;;FT;;;;;;;;;;;;;;;;;;;;;;
8;;PC14 //;;;;;8;;;Passive;;1;;True;;True;;PC14 // OSC32_IN;;;0mm;;;
;;OSC32_IN;;;;;;;;;;;;;;;;// FT;;;;;;
;;// FT;;;;;;;;;;;;;;;;;;;;;;
9;;PC15 //OSC;;;;;9;;;Passive;;1;;True;;True;;PC15 //;;;0mm;;;
;;32_OUT //;;;;;;;;;;;;;;;;OSC32_OUT // FT;;;;;;
;;FT;;;;;;;;;;;;;;;;;;;;;;
10;;VSS;;;;;10;;;Passive;;1;;True;;True;;VSS;;;0mm;;;
11;;VDD;;;;;11;;;Passive;;1;;True;;True;;VDD;;;0mm;;;
12;;PH0 //;;;;;12;;;Passive;;1;;True;;True;;PH0 // OSC_IN //;;;0mm;;;
;;OSC_IN //;;;;;;;;;;;;;;;;FT;;;;;;
;;FT;;;;;;;;;;;;;;;;;;;;;;
13;;PH1 //;;;;;13;;;Passive;;1;;True;;True;;PH1 // OSC_OUT //;;;0mm;;;
;;OSC_OUT;;;;;;;;;;;;;;;;FT;;;;;;
;;// FT;;;;;;;;;;;;;;;;;;;;;;
14;;NRST;;;;;14;;;Passive;;1;;True;;True;;NRST;;;0mm;;;
15;;PC0 //OTG_;;;;;15;;;Passive;;1;;True;;True;;PC0 //OTG_HS_UL;;;0mm;;;
;;HS_ULPI_S;;;;;;;;;;;;;;;;PI_STP //;;;;;;
