;;;;;;;;;;;;;;;;;;;;;;;;
Report Generated From Altium Designer;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Designator;Name;;;;;Desc;;;LQFP64_L;;LQFP64_H;;Type;;Owner;Show;;Number;;Name;Pin/Pkg Length;;;
1;VBAT;;;;;;;;1;;1;;Passive;;1;True;;True;;VBAT;;0mm;;
2;PC13 / RTC_AF1 [*];;;;;;;;2;;2;;Passive;;1;True;;True;;PC13 /;;0mm;;
;;;;;;;;;;;;;;;;;;;;RTC_AF1 [*];;;;
3;PC14 / OSC32_IN [*];;;;;;;;3;;3;;Passive;;1;True;;True;;PC14 /;;0mm;;
;;;;;;;;;;;;;;;;;;;;OSC32_IN [*];;;;
4;PC15 / OSC32_OUT [*];;;;;;;;4;;4;;Passive;;1;True;;True;;PC15 /;;0mm;;
;;;;;;;;;;;;;;;;;;;;OSC32_OUT;;;;
;;;;;;;;;;;;;;;;;;;;[*];;;;
5;PH0/OSC_IN;;;;;;;;5;;5;;Passive;;1;True;;True;;PH0/OSC_IN;;0mm;;
6;PH1/OSC_OUT;;;;;;;;6;;6;;Passive;;1;True;;True;;PH1/OSC_OU;;0mm;;
;;;;;;;;;;;;;;;;;;;;T;;;;
7;NRST;;;;;;;;7;;7;;Passive;;1;True;;True;;NRST;;0mm;;
8;PC0 / ADC12_IN10 [*];;;;;;;;8;;8;;Passive;;1;True;;True;;PC0 /;;0mm;;
;;;;;;;;;;;;;;;;;;;;ADC12_IN10;;;;
;;;;;;;;;;;;;;;;;;;;[*];;;;
9;PC1 / ADC123_IN11 [*];;;;;;;;9;;9;;Passive;;1;True;;True;;PC1 /;;0mm;;
;;;;;;;;;;;;;;;;;;;;ADC123_IN11;;;;
;;;;;;;;;;;;;;;;;;;;[*];;;;
10;PC2 / SPI2_MISO / I2Sext_SD /;;;;;;;;10;;10;;Passive;;1;True;;True;;PC2 /;;0mm;;
;ADC123_IN12 [*];;;;;;;;;;;;;;;;;;;SPI2_MISO /;;;;
;;;;;;;;;;;;;;;;;;;;I2Sext_SD /;;;;
;;;;;;;;;;;;;;;;;;;;ADC123_IN12;;;;
;;;;;;;;;;;;;;;;;;;;[*];;;;
11;PC3 / SPI2_MOSI / I2S2_SD /;;;;;;;;11;;11;;Passive;;1;True;;True;;PC3 /;;0mm;;
;ADC123_IN13 [*];;;;;;;;;;;;;;;;;;;SPI2_MOSI /;;;;
;;;;;;;;;;;;;;;;;;;;I2S2_SD /;;;;
;;;;;;;;;;;;;;;;;;;;ADC123_IN13;;;;
;;;;;;;;;;;;;;;;;;;;[*];;;;
12;VSSA;;;;;;;;12;;12;;Passive;;1;True;;True;;VSSA;;0mm;;
13;VDDA;;;;;;;;13;;13;;Passive;;1;True;;True;;VDDA;;0mm;;
14;PA0 / WKUP / USART2_CTS /;;;;;;;;14;;14;;Passive;;1;True;;True;;PA0 / WKUP /;;0mm;;
;UART4_TX / TIM2_CH1_ETR /;;;;;;;;;;;;;;;;;;;USART2_CTS;;;;
;TIM5_CH1 / TIM8_ETR /;;;;;;;;;;;;;;;;;;;/ UART4_TX /T;;;;
;ADC123_IN0 [*];;;;;;;;;;;;;;;;;;;IM2_CH1_ETR;;;;
;;;;;;;;;;;;;;;;;;;;/ TIM5_CH1 /;;;;
;;;;;;;;;;;;;;;;;;;;TIM8_ETR /;;;;
;;;;;;;;;;;;;;;;;;;;ADC123_IN0;;;;
;;;;;;;;;;;;;;;;;;;;[*];;;;
15;PA1 / USART2_RTS / UART4_RX /;;;;;;;;15;;15;;Passive;;1;True;;True;;PA1 /;;0mm;;
;TIM5_CH2 / TIM2_CH2 /;;;;;;;;;;;;;;;;;;;USART2_RTS;;;;
;ADC123_IN1 [*];;;;;;;;;;;;;;;;;;;/ UART4_RX /;;;;
;;;;;;;;;;;;;;;;;;;;TIM5_CH2 /;;;;
;;;;;;;;;;;;;;;;;;;;TIM2_CH2 /;;;;
;;;;;;;;;;;;;;;;;;;;ADC123_IN1;;;;
;;;;;;;;;;;;;;;;;;;;[*];;;;
16;PA2 / USART2_TX / TIM5_CH3 /;;;;;;;;16;;16;;Passive;;1;True;;True;;PA2 /;;0mm;;
;TIM9_CH1 / TIM2_CH3 /;;;;;;;;;;;;;;;;;;;USART2_TX /;;;;
;ADC123_IN2 [*];;;;;;;;;;;;;;;;;;;TIM5_CH3 /;;;;
;;;;;;;;;;;;;;;;;;;;TIM9_CH1 /;;;;
;;;;;;;;;;;;;;;;;;;;TIM2_CH3 /;;;;
;;;;;;;;;;;;;;;;;;;;ADC123_IN2;;;;
;;;;;;;;;;;;;;;;;;;;[*];;;;
17;PA3 / USART2_RX / TIM5_CH4 /;;;;;;;;17;;17;;Passive;;1;True;;True;;PA3 /;;0mm;;
;TIM9_CH2 / TIM2_CH4 /;;;;;;;;;;;;;;;;;;;USART2_RX /;;;;
;ADC123_IN3 [*];;;;;;;;;;;;;;;;;;;TIM5_CH4 /;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
среда 24-окт-24.2018   1:34:18 PM;;;;;;;;;;;;;;;;;;;;;;;Page 1 of 6;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Designator;Name;;;;;Desc;;;LQFP64_L;;LQFP64_H;;Type;;Owner;Show;;Number;;Name;Pin/Pkg Length;;;
;;;;;;;;;;;;;;;;;;;;TIM9_CH2 /;;;;
;;;;;;;;;;;;;;;;;;;;TIM2_CH4 /;;;;
;;;;;;;;;;;;;;;;;;;;ADC123_IN3;;;;
;;;;;;;;;;;;;;;;;;;;[*];;;;
18;VSS;;;;;;;;18;;18;;Passive;;1;True;;True;;VSS;;0mm;;
19;VDD;;;;;;;;19;;19;;Passive;;1;True;;True;;VDD;;0mm;;
20;PA4 / SPI1_NSS / SPI3_NSS /;;;;;;;;20;;20;;Passive;;1;True;;True;;PA4 /;;0mm;;
;USART2_CK /  DCMI_HSYNC /;;;;;;;;;;;;;;;;;;;SPI1_NSS /;;;;
;I2S3_WS / ADC12_IN4 /;;;;;;;;;;;;;;;;;;;SPI3_NSS /;;;;
;DAC1_OUT;;;;;;;;;;;;;;;;;;;USART2_CK /;;;;
;;;;;;;;;;;;;;;;;;;;DCMI_HSYNC;;;;
;;;;;;;;;;;;;;;;;;;;/ I2S3_WS /;;;;
;;;;;;;;;;;;;;;;;;;;ADC12_IN4 /;;;;
;;;;;;;;;;;;;;;;;;;;DAC1_OUT;;;;
21;PA5 / SPI1_SCK / TIM2_CH1_ETR /;;;;;;;;21;;21;;Passive;;1;True;;True;;PA5 /;;0mm;;
;TIM8_CH1N / ADC12_IN5 /;;;;;;;;;;;;;;;;;;;SPI1_SCK /TI;;;;
;DAC2_OUT;;;;;;;;;;;;;;;;;;;M2_CH1_ETR;;;;
;;;;;;;;;;;;;;;;;;;;/ TIM8_CH1N /;;;;
;;;;;;;;;;;;;;;;;;;;ADC12_IN5 /;;;;
;;;;;;;;;;;;;;;;;;;;DAC2_OUT;;;;
22;PA6 / SPI1_MISO / TIM8_BKIN /;;;;;;;;22;;22;;Passive;;1;True;;True;;PA6 /;;0mm;;
;TIM13_CH1 / DCMI_PIXCLK /;;;;;;;;;;;;;;;;;;;SPI1_MISO /;;;;
;TIM3_CH1 / TIM1_BKIN /;;;;;;;;;;;;;;;;;;;TIM8_BKIN /;;;;
;ADC12_IN6 [*];;;;;;;;;;;;;;;;;;;TIM13_CH1 /;;;;
;;;;;;;;;;;;;;;;;;;;DCMI_PIXCLK;;;;
;;;;;;;;;;;;;;;;;;;;/ TIM3_CH1 /;;;;
;;;;;;;;;;;;;;;;;;;;TIM1_BKIN /;;;;
;;;;;;;;;;;;;;;;;;;;ADC12_IN6 [*];;;;
23;PA7 / SPI1_MOSI / TIM8_CH1N /;;;;;;;;23;;23;;Passive;;1;True;;True;;PA7 /;;0mm;;
;TIM14_CH1 / TIM3_CH2 /;;;;;;;;;;;;;;;;;;;SPI1_MOSI /;;;;
;TIM1_CH1N / ADC12_IN7 [*];;;;;;;;;;;;;;;;;;;TIM8_CH1N /;;;;
;;;;;;;;;;;;;;;;;;;;TIM14_CH1 /;;;;
;;;;;;;;;;;;;;;;;;;;TIM3_CH2 /;;;;
;;;;;;;;;;;;;;;;;;;;TIM1_CH1N /;;;;
;;;;;;;;;;;;;;;;;;;;ADC12_IN7 [*];;;;
24;PC4 / ADC12_IN14 [*];;;;;;;;24;;24;;Passive;;1;True;;True;;PC4 /;;0mm;;
;;;;;;;;;;;;;;;;;;;;ADC12_IN14;;;;
;;;;;;;;;;;;;;;;;;;;[*];;;;
25;PC5 / ADC12_IN15 [*];;;;;;;;25;;25;;Passive;;1;True;;True;;PC5 /;;0mm;;
;;;;;;;;;;;;;;;;;;;;ADC12_IN15;;;;
;;;;;;;;;;;;;;;;;;;;[*];;;;
26;PB0 / TIM3_CH3 / TIM8_CH2N /;;;;;;;;26;;26;;Passive;;1;True;;True;;PB0 /;;0mm;;
;TIM1_CH2N / ADC12_IN8 [*];;;;;;;;;;;;;;;;;;;TIM3_CH3 /;;;;
;;;;;;;;;;;;;;;;;;;;TIM8_CH2N /;;;;
;;;;;;;;;;;;;;;;;;;;TIM1_CH2N /;;;;
;;;;;;;;;;;;;;;;;;;;ADC12_IN8 [*];;;;
27;PB1 / TIM3_CH4 / TIM8_CH3N /;;;;;;;;27;;27;;Passive;;1;True;;True;;PB1 /;;0mm;;
;TIM1_CH3N / ADC12_IN9 [*];;;;;;;;;;;;;;;;;;;TIM3_CH4 /;;;;
;;;;;;;;;;;;;;;;;;;;TIM8_CH3N /;;;;
;;;;;;;;;;;;;;;;;;;;TIM1_CH3N /;;;;
;;;;;;;;;;;;;;;;;;;;ADC12_IN9 [*];;;;
28;PB2 / BOOT1 [*];;;;;;;;28;;28;;Passive;;1;True;;True;;PB2 / BOOT1;;0mm;;
;;;;;;;;;;;;;;;;;;;;[*];;;;
29;PB10 / SPI2_SCK / I2S2_CK /;;;;;;;;29;;29;;Passive;;1;True;;True;;PB10 /;;0mm;;
;I2C2_SCL / USART3_TX /;;;;;;;;;;;;;;;;;;;SPI2_SCK /;;;;
;TIM2_CH3 [*];;;;;;;;;;;;;;;;;;;I2S2_CK /;;;;
;;;;;;;;;;;;;;;;;;;;I2C2_SCL /;;;;
;;;;;;;;;;;;;;;;;;;;USART3_TX /;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
среда 24-окт-24.2018   1:34:18 PM;;;;;;;;;;;;;;;;;;;;;;;Page 2 of 6;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Designator;Name;;;;;Desc;;;LQFP64_L;;LQFP64_H;;Type;;Owner;Show;;Number;;Name;Pin/Pkg Length;;;
;;;;;;;;;;;;;;;;;;;;TIM2_CH3 [*];;;;
30;PB11 / I2C2_SDA / USART3_RX /;;;;;;;;30;;30;;Passive;;1;True;;True;;PB11 /;;0mm;;
;TIM2_CH4 [*];;;;;;;;;;;;;;;;;;;I2C2_SDA /;;;;
;;;;;;;;;;;;;;;;;;;;USART3_RX /;;;;
;;;;;;;;;;;;;;;;;;;;TIM2_CH4 [*];;;;
31;VCAP_1;;;;;;;;31;;31;;Passive;;1;True;;True;;VCAP_1;;0mm;;
32;VDD;;;;;;;;32;;32;;Passive;;1;True;;True;;VDD;;0mm;;
33;PB12 / SPI2_NSS / I2S2_WS /;;;;;;;;33;;33;;Passive;;1;True;;True;;PB12 /;;0mm;;
;I2C2_SMBA / USART3_CK /;;;;;;;;;;;;;;;;;;;SPI2_NSS /;;;;
;TIM1_BKIN / CAN2_RX [*];;;;;;;;;;;;;;;;;;;I2S2_WS /;;;;
;;;;;;;;;;;;;;;;;;;;I2C2_SMBA /;;;;
;;;;;;;;;;;;;;;;;;;;USART3_CK /;;;;
;;;;;;;;;;;;;;;;;;;;TIM1_BKIN /;;;;
;;;;;;;;;;;;;;;;;;;;CAN2_RX [*];;;;
34;PB13 / SPI2_SCK / I2S2_CK /;;;;;;;;34;;34;;Passive;;1;True;;True;;PB13 /;;0mm;;
;USART3_CTS / TIM1_CH1N /;;;;;;;;;;;;;;;;;;;SPI2_SCK /;;;;
;CAN2_TX [*];;;;;;;;;;;;;;;;;;;I2S2_CK /;;;;
;;;;;;;;;;;;;;;;;;;;USART3_CTS;;;;
;;;;;;;;;;;;;;;;;;;;/ TIM1_CH1N /;;;;
;;;;;;;;;;;;;;;;;;;;CAN2_TX [*];;;;
35;PB14 / SPI2_MISO / TIM1_CH2N /;;;;;;;;35;;35;;Passive;;1;True;;True;;PB14 /;;0mm;;
;TIM12_CH1 / USART3_RTS /;;;;;;;;;;;;;;;;;;;SPI2_MISO /;;;;
;TIM8_CH2N [*];;;;;;;;;;;;;;;;;;;TIM1_CH2N /;;;;
;;;;;;;;;;;;;;;;;;;;TIM12_CH1 /;;;;
;;;;;;;;;;;;;;;;;;;;USART3_RTS;;;;
;;;;;;;;;;;;;;;;;;;;/ TIM8_CH2N;;;;
;;;;;;;;;;;;;;;;;;;;[*];;;;
36;PB15 / SPI2_MOSI / I2S2_SD /;;;;;;;;36;;36;;Passive;;1;True;;True;;PB15 /;;0mm;;
;TIM1_CH3N / TIM8_CH3N /;;;;;;;;;;;;;;;;;;;SPI2_MOSI /;;;;
;TIM12_CH2 [*];;;;;;;;;;;;;;;;;;;I2S2_SD /;;;;
;;;;;;;;;;;;;;;;;;;;TIM1_CH3N /;;;;
;;;;;;;;;;;;;;;;;;;;TIM8_CH3N /;;;;
;;;;;;;;;;;;;;;;;;;;TIM12_CH2 [*];;;;
37;PC6 / I2S2_MCK / TIM8_CH1 /;;;;;;;;37;;37;;Passive;;1;True;;True;;PC6 /;;0mm;;
;SDIO_D6 / USART6_TX / DCMI_D0;;;;;;;;;;;;;;;;;;;I2S2_MCK /;;;;
;/ TIM3_CH1 [*];;;;;;;;;;;;;;;;;;;TIM8_CH1 /;;;;
;;;;;;;;;;;;;;;;;;;;SDIO_D6 /;;;;
;;;;;;;;;;;;;;;;;;;;USART6_TX /;;;;
;;;;;;;;;;;;;;;;;;;;DCMI_D0 /;;;;
;;;;;;;;;;;;;;;;;;;;TIM3_CH1 [*];;;;
38;PC7 / I2S3_MCK / TIM8_CH2 /;;;;;;;;38;;38;;Passive;;1;True;;True;;PC7 /;;0mm;;
;SDIO_D7 / USART6_RX / DCMI_D1;;;;;;;;;;;;;;;;;;;I2S3_MCK /;;;;
;/ TIM3_CH2 [*];;;;;;;;;;;;;;;;;;;TIM8_CH2 /;;;;
;;;;;;;;;;;;;;;;;;;;SDIO_D7 /;;;;
;;;;;;;;;;;;;;;;;;;;USART6_RX /;;;;
;;;;;;;;;;;;;;;;;;;;DCMI_D1 /;;;;
;;;;;;;;;;;;;;;;;;;;TIM3_CH2 [*];;;;
39;PC8 / TIM8_CH3 / SDIO_D0 /;;;;;;;;39;;39;;Passive;;1;True;;True;;PC8 /;;0mm;;
;TIM3_CH3 / USART6_CK /;;;;;;;;;;;;;;;;;;;TIM8_CH3 /;;;;
;DCMI_D2 [*];;;;;;;;;;;;;;;;;;;SDIO_D0 /;;;;
;;;;;;;;;;;;;;;;;;;;TIM3_CH3 /;;;;
;;;;;;;;;;;;;;;;;;;;USART6_CK /;;;;
;;;;;;;;;;;;;;;;;;;;DCMI_D2 [*];;;;
40;PC9 / I2S_CKIN / MCO2 /;;;;;;;;40;;40;;Passive;;1;True;;True;;PC9 /;;0mm;;
;TIM8_CH4 / SDIO_D1 / I2C3_SDA /;;;;;;;;;;;;;;;;;;;I2S_CKIN /;;;;
;DCMI_D3 / TIM3_CH4 [*];;;;;;;;;;;;;;;;;;;MCO2 /;;;;
;;;;;;;;;;;;;;;;;;;;TIM8_CH4 /;;;;
;;;;;;;;;;;;;;;;;;;;SDIO_D1 /;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
среда 24-окт-24.2018   1:34:18 PM;;;;;;;;;;;;;;;;;;;;;;;Page 3 of 6;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Designator;Name;;;;;Desc;;;LQFP64_L;;LQFP64_H;;Type;;Owner;Show;;Number;;Name;Pin/Pkg Length;;;
;;;;;;;;;;;;;;;;;;;;I2C3_SDA /;;;;
;;;;;;;;;;;;;;;;;;;;DCMI_D3 /;;;;
;;;;;;;;;;;;;;;;;;;;TIM3_CH4 [*];;;;
41;PA8 / MCO1 / USART1_CK /;;;;;;;;41;;41;;Passive;;1;True;;True;;PA8 / MCO1 /;;0mm;;
;TIM1_CH1 / I2C3_SCL [*];;;;;;;;;;;;;;;;;;;USART1_CK /;;;;
;;;;;;;;;;;;;;;;;;;;TIM1_CH1 /;;;;
;;;;;;;;;;;;;;;;;;;;I2C3_SCL [*];;;;
42;PA9 / USART1_TX / TIM1_CH2 /;;;;;;;;42;;42;;Passive;;1;True;;True;;PA9 /;;0mm;;
;I2C3_SMBA / DCMI_D0 [*];;;;;;;;;;;;;;;;;;;USART1_TX /;;;;
;;;;;;;;;;;;;;;;;;;;TIM1_CH2 /;;;;
;;;;;;;;;;;;;;;;;;;;I2C3_SMBA /;;;;
;;;;;;;;;;;;;;;;;;;;DCMI_D0 [*];;;;
43;PA10 / USART1_RX / TIM1_CH3 /;;;;;;;;43;;43;;Passive;;1;True;;True;;PA10 /;;0mm;;
;OTG_FS_ID / DCMI_D1 [*];;;;;;;;;;;;;;;;;;;USART1_RX /;;;;
;;;;;;;;;;;;;;;;;;;;TIM1_CH3 /;;;;
;;;;;;;;;;;;;;;;;;;;OTG_FS_ID /;;;;
;;;;;;;;;;;;;;;;;;;;DCMI_D1 [*];;;;
44;PA11 / USART1_CTS / CAN1_RX /;;;;;;;;44;;44;;Passive;;1;True;;True;;PA11 /;;0mm;;
;TIM1_CH4 / OTG_FS_DM [*];;;;;;;;;;;;;;;;;;;USART1_CTS;;;;
;;;;;;;;;;;;;;;;;;;;/ CAN1_RX /;;;;
;;;;;;;;;;;;;;;;;;;;TIM1_CH4 /;;;;
;;;;;;;;;;;;;;;;;;;;OTG_FS_DM;;;;
;;;;;;;;;;;;;;;;;;;;[*];;;;
45;PA12 / USART1_RTS / CAN1_TX /;;;;;;;;45;;45;;Passive;;1;True;;True;;PA12 /;;0mm;;
;TIM1_ETR / OTG_FS_DP [*];;;;;;;;;;;;;;;;;;;USART1_RTS;;;;
;;;;;;;;;;;;;;;;;;;;/ CAN1_TX /;;;;
;;;;;;;;;;;;;;;;;;;;TIM1_ETR /;;;;
;;;;;;;;;;;;;;;;;;;;OTG_FS_DP;;;;
;;;;;;;;;;;;;;;;;;;;[*];;;;
46;PA13 / JTMS / SWDIO [*];;;;;;;;46;;46;;Passive;;1;True;;True;;PA13 / JTMS /;;0mm;;
;;;;;;;;;;;;;;;;;;;;SWDIO [*];;;;
47;VCAP_2;;;;;;;;47;;47;;Passive;;1;True;;True;;VCAP_2;;0mm;;
48;VDD;;;;;;;;48;;48;;Passive;;1;True;;True;;VDD;;0mm;;
49;PA14 / JTCK / SWCLK [*];;;;;;;;49;;49;;Passive;;1;True;;True;;PA14 / JTCK /;;0mm;;
;;;;;;;;;;;;;;;;;;;;SWCLK [*];;;;
50;PA15 / JTDI / SPI3_NSS / I2S3_WS;;;;;;;;50;;50;;Passive;;1;True;;True;;PA15 / JTDI /;;0mm;;
;/ TIM2_CH1_ETR / SPI1_NSS [*];;;;;;;;;;;;;;;;;;;SPI3_NSS /;;;;
;;;;;;;;;;;;;;;;;;;;I2S3_WS /TIM;;;;
;;;;;;;;;;;;;;;;;;;;2_CH1_ETR /;;;;
;;;;;;;;;;;;;;;;;;;;SPI1_NSS [*];;;;
51;PC10 / SPI3_SCK / I2S3_CK /;;;;;;;;51;;51;;Passive;;1;True;;True;;PC10 /;;0mm;;
;UART4_TX / SDIO_D2 / DCMI_D8 /;;;;;;;;;;;;;;;;;;;SPI3_SCK /;;;;
;USART3_TX [*];;;;;;;;;;;;;;;;;;;I2S3_CK /;;;;
;;;;;;;;;;;;;;;;;;;;UART4_TX /;;;;
;;;;;;;;;;;;;;;;;;;;SDIO_D2 /;;;;
;;;;;;;;;;;;;;;;;;;;DCMI_D8 /;;;;
;;;;;;;;;;;;;;;;;;;;USART3_TX;;;;
;;;;;;;;;;;;;;;;;;;;[*];;;;
52;PC11 / UART4_RX / SPI3_MISO /;;;;;;;;52;;52;;Passive;;1;True;;True;;PC11 /;;0mm;;
;SDIO_D3 / DCMI_D4 / USART3_RX;;;;;;;;;;;;;;;;;;;UART4_RX /;;;;
;/ I2S3ext_SD [*];;;;;;;;;;;;;;;;;;;SPI3_MISO /;;;;
;;;;;;;;;;;;;;;;;;;;SDIO_D3 /;;;;
;;;;;;;;;;;;;;;;;;;;DCMI_D4 /;;;;
;;;;;;;;;;;;;;;;;;;;USART3_RX /;;;;
;;;;;;;;;;;;;;;;;;;;I2S3ext_SD [*];;;;
53;PC12 / UART5_TX / SDIO_CK /;;;;;;;;53;;53;;Passive;;1;True;;True;;PC12 /;;0mm;;
;DCMI_D9 / SPI3_MOSI / I2S3_SD /;;;;;;;;;;;;;;;;;;;UART5_TX /;;;;
;USART3_CK [*];;;;;;;;;;;;;;;;;;;SDIO_CK /;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
среда 24-окт-24.2018   1:34:18 PM;;;;;;;;;;;;;;;;;;;;;;;Page 4 of 6;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Designator;Name;;;;;Desc;;;LQFP64_L;;LQFP64_H;;Type;;Owner;Show;;Number;;Name;Pin/Pkg Length;;;
;;;;;;;;;;;;;;;;;;;;DCMI_D9 /;;;;
;;;;;;;;;;;;;;;;;;;;SPI3_MOSI /;;;;
;;;;;;;;;;;;;;;;;;;;I2S3_SD /;;;;
;;;;;;;;;;;;;;;;;;;;USART3_CK;;;;
;;;;;;;;;;;;;;;;;;;;[*];;;;
54;PD2 / TIM3_ETR / UART5_RX /;;;;;;;;54;;54;;Passive;;1;True;;True;;PD2 /;;0mm;;
;SDIO_CMD / DCMI_D11 [*];;;;;;;;;;;;;;;;;;;TIM3_ETR /;;;;
;;;;;;;;;;;;;;;;;;;;UART5_RX /;;;;
;;;;;;;;;;;;;;;;;;;;SDIO_CMD /;;;;
;;;;;;;;;;;;;;;;;;;;DCMI_D11 [*];;;;
55;PB3 / JTDO / TRACESWO /;;;;;;;;55;;55;;Passive;;1;True;;True;;PB3 / JTDO /;;0mm;;
;SPI3_SCK / I2S3_CK / TIM2_CH2 /;;;;;;;;;;;;;;;;;;;TRACESWO /;;;;
;SPI1_SCK [*];;;;;;;;;;;;;;;;;;;SPI3_SCK /;;;;
;;;;;;;;;;;;;;;;;;;;I2S3_CK /;;;;
;;;;;;;;;;;;;;;;;;;;TIM2_CH2 /;;;;
;;;;;;;;;;;;;;;;;;;;SPI1_SCK [*];;;;
56;PB4 / NJTRST / SPI3_MISO /;;;;;;;;56;;56;;Passive;;1;True;;True;;PB4 / NJTRST;;0mm;;
;TIM3_CH1 / SPI1_MISO /;;;;;;;;;;;;;;;;;;;/ SPI3_MISO /;;;;
;I2S3ext_SD [*];;;;;;;;;;;;;;;;;;;TIM3_CH1 /;;;;
;;;;;;;;;;;;;;;;;;;;SPI1_MISO /;;;;
;;;;;;;;;;;;;;;;;;;;I2S3ext_SD [*];;;;
57;PB5 / I2C1_SMBA / CAN2_RX /;;;;;;;;57;;57;;Passive;;1;True;;True;;PB5 /;;0mm;;
;TIM3_CH_2 / SPI1_MOSI /;;;;;;;;;;;;;;;;;;;I2C1_SMBA /;;;;
;SPI3_MOSI / DCMI_D10 / I2S3_SD;;;;;;;;;;;;;;;;;;;CAN2_RX /;;;;
;[*];;;;;;;;;;;;;;;;;;;TIM3_CH_2 /;;;;
;;;;;;;;;;;;;;;;;;;;SPI1_MOSI /;;;;
;;;;;;;;;;;;;;;;;;;;SPI3_MOSI /;;;;
;;;;;;;;;;;;;;;;;;;;DCMI_D10 /;;;;
;;;;;;;;;;;;;;;;;;;;I2S3_SD [*];;;;
58;PB6 / I2C1_SCL / TIM4_CH1 /;;;;;;;;58;;58;;Passive;;1;True;;True;;PB6 /;;0mm;;
;CAN2_TX / DCMI_D5 / USART1_TX;;;;;;;;;;;;;;;;;;;I2C1_SCL /;;;;
;[*];;;;;;;;;;;;;;;;;;;TIM4_CH1 /;;;;
