;;;;;;;;;;;;;;;;;;;;;;;;
Report Generated From Altium Designer;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Designator;;Name;Desc;;;;LQFP100_A;;;Type;;Owner;;Show;;Number;;Name;;;Pin/Pkg Length;;;
1;;PE2/[TRAC;;;;;1;;;Passive;;1;;True;;True;;PE2/[TRACECLK/U;;;0mm;;;
;;ECLK/UAR;;;;;;;;;;;;;;;;ART10_RX/SPI4_S;;;;;;
;;T10_RX/SPI;;;;;;;;;;;;;;;;CK/SPI5_SCK][*];;;;;;
;;4_SCK/SPI;;;;;;;;;;;;;;;;;;;;;;
;;5_SCK][*];;;;;;;;;;;;;;;;;;;;;;
2;;PE3/[TRAC;;;;;2;;;Passive;;1;;True;;True;;PE3/[TRACED0/UA;;;0mm;;;
;;ED0/UART1;;;;;;;;;;;;;;;;RT10_TX][*];;;;;;
;;0_TX][*];;;;;;;;;;;;;;;;;;;;;;
3;;PE4/[TRAC;;;;;3;;;Passive;;1;;True;;True;;PE4/[TRACED1/SP;;;0mm;;;
;;ED1/SPI4_;;;;;;;;;;;;;;;;I4_NSS/SPI5_NSS];;;;;;
;;NSS/SPI5_;;;;;;;;;;;;;;;;[*];;;;;;
;;NSS][*];;;;;;;;;;;;;;;;;;;;;;
4;;PE5/[TRAC;;;;;4;;;Passive;;1;;True;;True;;PE5/[TRACED2/TI;;;0mm;;;
;;ED2/TIM9_;;;;;;;;;;;;;;;;M9_CH1/SPI4_MIS;;;;;;
;;CH1/SPI4_;;;;;;;;;;;;;;;;O/SPI5_MISO][*];;;;;;
;;MISO/SPI5_;;;;;;;;;;;;;;;;;;;;;;
;;MISO][*];;;;;;;;;;;;;;;;;;;;;;
5;;PE6/(TRAC;;;;;5;;;Passive;;1;;True;;True;;PE6/(TRACED3/TI;;;0mm;;;
;;ED3/TIM9_;;;;;;;;;;;;;;;;M9_CH2/SPI4_MO;;;;;;
;;CH2/SPI4_;;;;;;;;;;;;;;;;SI/SPI5_MOSI][*];;;;;;
;;MOSI/SPI5_;;;;;;;;;;;;;;;;;;;;;;
;;MOSI][*];;;;;;;;;;;;;;;;;;;;;;
6;;VBAT;;;;;6;;;Passive;;1;;True;;True;;VBAT;;;0mm;;;
7;;PC13/(TAM;;;;;7;;;Passive;;1;;True;;True;;PC13/(TAMP_1)[*];;;0mm;;;
;;P_1)[*];;;;;;;;;;;;;;;;;;;;;;
8;;PC14/(OSC;;;;;8;;;Passive;;1;;True;;True;;PC14/(OSC32_IN);;;0mm;;;
;;32_IN);;;;;;;;;;;;;;;;;;;;;;
9;;PC15/(OSC;;;;;9;;;Passive;;1;;True;;True;;PC15/(OSC32_OU;;;0mm;;;
;;32_OUT);;;;;;;;;;;;;;;;T);;;;;;
10;;VSS;;;;;10;;;Passive;;1;;True;;True;;VSS;;;0mm;;;
11;;VDD;;;;;11;;;Passive;;1;;True;;True;;VDD;;;0mm;;;
12;;PH0/(OSC_I;;;;;12;;;Passive;;1;;True;;True;;PH0/(OSC_IN)[EV;;;0mm;;;
;;N)[EVENTO;;;;;;;;;;;;;;;;ENTOUT][*];;;;;;
;;UT][*];;;;;;;;;;;;;;;;;;;;;;
13;;PH1/(OSC_;;;;;13;;;Passive;;1;;True;;True;;PH1/(OSC_OUT)[E;;;0mm;;;
;;OUT)[EVEN;;;;;;;;;;;;;;;;VENTOUT][*];;;;;;
;;TOUT][*];;;;;;;;;;;;;;;;;;;;;;
14;;NRST;;;;;14;;;Passive;;1;;True;;True;;NRST;;;0mm;;;
15;;PC0/(ADC1;;;;;15;;;Passive;;1;;True;;True;;PC0/(ADC1_IN10/;;;0mm;;;
;;_IN10/WKU;;;;;;;;;;;;;;;;WKUP2)[LPTIM1_I;;;;;;
;;P2)[LPTIM1;;;;;;;;;;;;;;;;N1][*];;;;;;
;;_IN1][*];;;;;;;;;;;;;;;;;;;;;;
16;;PC1/(ADC1;;;;;16;;;Passive;;1;;True;;True;;PC1/(ADC1_IN11/;;;0mm;;;
;;_IN11/WKU;;;;;;;;;;;;;;;;WKUP3)[LPTIM1_;;;;;;
;;P3)[LPTIM1;;;;;;;;;;;;;;;;OUT][*];;;;;;
;;_OUT][*];;;;;;;;;;;;;;;;;;;;;;
17;;PC2/(ADC1;;;;;17;;;Passive;;1;;True;;True;;PC2/(ADC1_IN12)[;;;0mm;;;
;;_IN12)[LPTI;;;;;;;;;;;;;;;;LPTIM1_IN2/SPI2_;;;;;;
;;M1_IN2/SPI;;;;;;;;;;;;;;;;MISO][*];;;;;;
;;2_MISO][*];;;;;;;;;;;;;;;;;;;;;;
18;;PC3/(ADC1;;;;;18;;;Passive;;1;;True;;True;;PC3/(ADC1_IN13)[;;;0mm;;;
;;_IN13)[LPTI;;;;;;;;;;;;;;;;LPTIM_ETR/SPI2_;;;;;;
;;M_ETR/SPI;;;;;;;;;;;;;;;;MOSI][*];;;;;;
;;2_MOSI][*];;;;;;;;;;;;;;;;;;;;;;
19;;VDD;;;;;19;;;Passive;;1;;True;;True;;VDD;;;0mm;;;
;;;;;;;;;;;;;;;;;;;;;;;;
воскресенье 21-окт-21.2018   8:25:05 PM;;;;;;;;;;;;;;;;;;;;;;;Page 1 of 7;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Designator;;Name;Desc;;;;LQFP100_A;;;Type;;Owner;;Show;;Number;;Name;;;Pin/Pkg Length;;;
20;;VSSA;;;;;20;;;Passive;;1;;True;;True;;VSSA;;;0mm;;;
21;;VREF+;;;;;21;;;Passive;;1;;True;;True;;VREF+;;;0mm;;;
22;;VDDA;;;;;22;;;Passive;;1;;True;;True;;VDDA;;;0mm;;;
23;;PA0/(ADC1;;;;;23;;;Passive;;1;;True;;True;;PA0/(ADC1_IN0/W;;;0mm;;;
;;_IN0/WKUP;;;;;;;;;;;;;;;;KUP1)[TIM2_CH1/;;;;;;
;;1)[TIM2_CH;;;;;;;;;;;;;;;;TIM5_CH1/TIM2_E;;;;;;
