;;;;;;;;;;;;;;;;;;;;;;;;
Report Generated From Altium Designer;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Designator;Name;Desc;;;uSOP-10_H;;0.125_PAD;;VSSOP-10;;;VSSOP-10;;Type;;Owner;Show;Number;;Name;;Pin/Pkg Length;;
1;EN;;;;1;;1;;1;;;1;;Passive;;1;True;True;;EN;;0mm;;
2;VREF;;;;2;;2;;2;;;2;;Passive;;1;True;True;;VREF;;0mm;;
3;PROG;;;;3;;3;;3;;;3;;Passive;;1;True;True;;PROG;;0mm;;
4;TIMER;;;;4;;4;;4;;;4;;Passive;;1;True;True;;TIMER;;0mm;;
5;GND;;;;5;;5;;5;;;5;;Passive;;1;True;True;;GND;;0mm;;
6;PG;;;;6;;6;;6;;;6;;Passive;;1;True;True;;PG;;0mm;;
7;OUT;;;;7;;7;;7;;;7;;Passive;;1;True;True;;OUT;;0mm;;
8;GATE;;;;8;;8;;8;;;8;;Passive;;1;True;True;;GATE;;0mm;;
9;SENSE;;;;9;;9;;9;;;9;;Passive;;1;True;True;;SENSE;;0mm;;
10;VCC;;;;10;;10;;10;;;10;;Passive;;1;True;True;;VCC;;0mm;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
пятница 19-окт-19.2018   7:35:54 PM;;;;;;;;;;;;;;;;;;;;;;;Page 1 of 1;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
