;;;;;;;;;;;;;;;;;;;;;;;;
Report Generated From Altium Designer;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Designator;;Name;Desc;;;;PWQFN-N16;;;Type;;Owner;;Show;;Number;;Name;;;Pin/Pkg Length;;;
1;;SW;;;;;1;;;Passive;;1;;True;;True;;SW;;;0mm;;;
2;;VIN;;;;;2;;;Passive;;1;;True;;True;;VIN;;;0mm;;;
3;;EN;;;;;3;;;Passive;;1;;True;;True;;EN;;;0mm;;;
4;;SS;;;;;4;;;Passive;;1;;True;;True;;SS;;;0mm;;;
5;;SYNC;;;;;5;;;Passive;;1;;True;;True;;SYNC;;;0mm;;;
6;;AGND;;;;;6;;;Passive;;1;;True;;True;;AGND;;;0mm;;;
7;;COMP;;;;;7;;;Passive;;1;;True;;True;;COMP;;;0mm;;;
8;;FB;;;;;8;;;Passive;;1;;True;;True;;FB;;;0mm;;;
9;;FREQ;;;;;9;;;Passive;;1;;True;;True;;FREQ;;;0mm;;;
10;;NC;;;;;10;;;Passive;;1;;True;;True;;NC;;;0mm;;;
11;;PGND;;;;;11;;;Passive;;1;;True;;True;;PGND;;;0mm;;;
12;;PGND;;;;;12;;;Passive;;1;;True;;True;;PGND;;;0mm;;;
13;;PGND;;;;;13;;;Passive;;1;;True;;True;;PGND;;;0mm;;;
14;;NC;;;;;14;;;Passive;;1;;True;;True;;NC;;;0mm;;;
15;;SW;;;;;15;;;Passive;;1;;True;;True;;SW;;;0mm;;;
16;;SW;;;;;16;;;Passive;;1;;True;;True;;SW;;;0mm;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
воскресенье 21-окт-21.2018   6:13:57 PM;;;;;;;;;;;;;;;;;;;;;;;Page 1 of 1;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
