;;;;;;;;;;;;;;;;;;;;;;;
Report Generated From Altium Designer;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Designator;Name;;Desc;;;PVSON14_A;;;PVSON14_H;;;Type;;Owner;Show;;Number;;Name;;Pin/Pkg Length;;
1;VINA;;;;;1;;;1;;;Passive;;1;True;;True;;VINA;;0mm;;
2;GND;;;;;2;;;2;;;Passive;;1;True;;True;;GND;;0mm;;
3;FB;;;;;3;;;3;;;Passive;;1;True;;True;;FB;;0mm;;
4;VOUT;;;;;4;;;4;;;Passive;;1;True;;True;;VOUT;;0mm;;
5;VOUT;;;;;5;;;5;;;Passive;;1;True;;True;;VOUT;;0mm;;
6;L2;;;;;6;;;6;;;Passive;;1;True;;True;;L2;;0mm;;
7;L2;;;;;7;;;7;;;Passive;;1;True;;True;;L2;;0mm;;
8;L1;;;;;8;;;8;;;Passive;;1;True;;True;;L1;;0mm;;
9;L1;;;;;9;;;9;;;Passive;;1;True;;True;;L1;;0mm;;
10;VIN;;;;;10;;;10;;;Passive;;1;True;;True;;VIN;;0mm;;
11;VIN;;;;;11;;;11;;;Passive;;1;True;;True;;VIN;;0mm;;
12;EN;;;;;12;;;12;;;Passive;;1;True;;True;;EN;;0mm;;
13;PS/SYNC;;;;;13;;;13;;;Passive;;1;True;;True;;PS/SYNC;;0mm;;
14;PG;;;;;14;;;14;;;Passive;;1;True;;True;;PG;;0mm;;
15;PWRPad;;;;;15;;;15;;;Passive;;1;True;;True;;PWRPad;;0mm;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
понедельник 22-окт-22.2018   10:33:50 AM;;;;;;;;;;;;;;;;;;;;;;;Page 1 of 1
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
