;;;;;;;;;;;;;;;;;;;;;;;;
Report Generated From Altium Designer;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Designator;;Name;Desc;;;;PQFP-208;;;Type;;Owner;;Show;;Number;;Name;;;Pin/Pkg Length;;;
1;;VSS;;;;;1;;;Passive;;3;;True;;True;;VSS;;;0mm;;;
2;;MPP1[3];;;;;2;;;Passive;;2;;True;;True;;MPP1[3];;;0mm;;;
3;;MPP1[2];;;;;3;;;Passive;;2;;True;;True;;MPP1[2];;;0mm;;;
4;;MPP1[1];;;;;4;;;Passive;;2;;True;;True;;MPP1[1];;;0mm;;;
5;;MPP1[0];;;;;5;;;Passive;;2;;True;;True;;MPP1[0];;;0mm;;;
6;;VDDI;;;;;6;;;Passive;;1;;True;;True;;VDDI;;;0mm;;;
7;;CLKMPP1;;;;;7;;;Passive;;2;;True;;True;;CLKMPP1;;;0mm;;;
8;;VDOX[7];;;;;8;;;Passive;;2;;True;;True;;VDOX[7];;;0mm;;;
9;;VDOX[6];;;;;9;;;Passive;;2;;True;;True;;VDOX[6];;;0mm;;;
10;;VDOX[5];;;;;10;;;Passive;;2;;True;;True;;VDOX[5];;;0mm;;;
11;;VDOX[4];;;;;11;;;Passive;;2;;True;;True;;VDOX[4];;;0mm;;;
12;;VSS;;;;;12;;;Passive;;3;;True;;True;;VSS;;;0mm;;;
13;;VDOX[3];;;;;13;;;Passive;;2;;True;;True;;VDOX[3];;;0mm;;;
14;;VDOX[2];;;;;14;;;Passive;;2;;True;;True;;VDOX[2];;;0mm;;;
15;;VDOX[1];;;;;15;;;Passive;;2;;True;;True;;VDOX[1];;;0mm;;;
16;;VDOX[0];;;;;16;;;Passive;;2;;True;;True;;VDOX[0];;;0mm;;;
17;;CLKVDOX;;;;;17;;;Passive;;2;;True;;True;;CLKVDOX;;;0mm;;;
18;;VDDO;;;;;18;;;Passive;;1;;True;;True;;VDDO;;;0mm;;;
19;;FLDENC;;;;;19;;;Passive;;2;;True;;True;;FLDENC;;;0mm;;;
20;;VSENC;;;;;20;;;Passive;;2;;True;;True;;VSENC;;;0mm;;;
21;;HSENC;;;;;21;;;Passive;;2;;True;;True;;HSENC;;;0mm;;;
22;;ALINKO;;;;;22;;;Passive;;3;;True;;True;;ALINKO;;;0mm;;;
23;;ADATM;;;;;23;;;Passive;;3;;True;;True;;ADATM;;;0mm;;;
24;;VDDI;;;;;24;;;Passive;;1;;True;;True;;VDDI;;;0mm;;;
25;;ADATR;;;;;25;;;Passive;;3;;True;;True;;ADATR;;;0mm;;;
26;;ASYNR;;;;;26;;;Passive;;3;;True;;True;;ASYNR;;;0mm;;;
27;;ACLKR;;;;;27;;;Passive;;3;;True;;True;;ACLKR;;;0mm;;;
28;;ADATP;;;;;28;;;Passive;;3;;True;;True;;ADATP;;;0mm;;;
29;;VSS;;;;;29;;;Passive;;3;;True;;True;;VSS;;;0mm;;;
30;;ASYNP;;;;;30;;;Passive;;3;;True;;True;;ASYNP;;;0mm;;;
