;;;;;;;;;;;;;;;;;;;;;;;;
Report Generated From Altium Designer;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Designator;;Name;Desc;;;;R-PDSO-G14;;;Type;;Owner;;Show;;Number;;Name;;;Pin/Pkg Length;;;
1;;VCCA;;;;;1;;;Passive;;1;;True;;True;;VCCA;;;0mm;;;
2;;A1;;;;;2;;;Passive;;1;;True;;True;;A1;;;0mm;;;
3;;A2;;;;;3;;;Passive;;1;;True;;True;;A2;;;0mm;;;
4;;A3;;;;;4;;;Passive;;1;;True;;True;;A3;;;0mm;;;
5;;A4;;;;;5;;;Passive;;1;;True;;True;;A4;;;0mm;;;
6;;NC;;;;;6;;;Passive;;1;;True;;True;;NC;;;0mm;;;
7;;GND;;;;;7;;;Passive;;1;;True;;True;;GND;;;0mm;;;
8;;OE;;;;;8;;;Passive;;1;;True;;True;;OE;;;0mm;;;
9;;NC;;;;;9;;;Passive;;1;;True;;True;;NC;;;0mm;;;
10;;B4;;;;;10;;;Passive;;1;;True;;True;;B4;;;0mm;;;
11;;B3;;;;;11;;;Passive;;1;;True;;True;;B3;;;0mm;;;
12;;B2;;;;;12;;;Passive;;1;;True;;True;;B2;;;0mm;;;
13;;B1;;;;;13;;;Passive;;1;;True;;True;;B1;;;0mm;;;
14;;VCCB;;;;;14;;;Passive;;1;;True;;True;;VCCB;;;0mm;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
воскресенье 21-окт-21.2018   6:50:45 PM;;;;;;;;;;;;;;;;;;;;;;;Page 1 of 1;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
