;;;;;;;;;;;;;;;;;;;;;;;
Report Generated From Altium Designer;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Designator;Name;Desc;;;PWSON8_A;;;PWSON8_H;;LGA12 - 4.4x2.4;;;Type;;Owner;Show;;Number;;Name;Pin/Pkg Length;;
1;AVDDVC;;;;1;;;1;;1;;;Passive;;1;True;;True;;AVDDVCSEL;0mm;;
;SEL;;;;;;;;;;;;;;;;;;;;;;
2;AVSSVC;;;;2;;;2;;2;;;Passive;;1;True;;True;;AVSSVCSEL;0mm;;
;SEL;;;;;;;;;;;;;;;;;;;;;;
3;GND;;;;3;;;3;;3;;;Passive;;1;True;;True;;GND;0mm;;
4;GND2;;;;4;;;4;;4;;;Passive;;1;True;;True;;GND2;0mm;;
5;XSHUT;;;;5;;;5;;5;;;Passive;;1;True;;True;;XSHUT;0mm;;
6;GND3;;;;6;;;6;;6;;;Passive;;1;True;;True;;GND3;0mm;;
7;GPIO1;;;;7;;;7;;7;;;Passive;;1;True;;True;;GPIO1;0mm;;
8;DNC;;;;8;;;8;;8;;;Passive;;1;True;;True;;DNC;0mm;;
9;SDA;;;;9;;;9;;9;;;Passive;;1;True;;True;;SDA;0mm;;
10;SCL;;;;10;;;10;;10;;;Passive;;1;True;;True;;SCL;0mm;;
11;AVDD;;;;11;;;11;;11;;;Passive;;1;True;;True;;AVDD;0mm;;
12;GND4;;;;12;;;12;;12;;;Passive;;1;True;;True;;GND4;0mm;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
воскресенье 21-окт-21.2018   5:12:23 PM;;;;;;;;;;;;;;;;;;;;;;;Page 1 of 1
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
